starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 03 11:52:38 2021	1609671158	108	667	775	134
Sun Jan 03 11:52:38 2021	1609671158	103	705	808	164
Sun Jan 03 11:52:55 2021	1609671175	105	707	812	164
Sun Jan 03 11:52:42 2021	1609671162	105	709	814	164
Sun Jan 03 11:52:58 2021	1609671178	110	706	817	155
Sun Jan 03 11:53:02 2021	1609671182	101	720	822	179
Sun Jan 03 11:52:42 2021	1609671162	99	730	829	158
Sun Jan 03 11:52:37 2021	1609671157	106	726	831	143
Sun Jan 03 11:52:38 2021	1609671158	100	734	834	169
Sun Jan 03 11:53:02 2021	1609671182	103	735	838	124
Sun Jan 03 11:52:44 2021	1609671164	107	731	838	224
Sun Jan 03 11:52:26 2021	1609671146	108	732	840	224
Sun Jan 03 11:52:45 2021	1609671165	112	729	841	183
Sun Jan 03 11:52:57 2021	1609671177	116	727	843	140
Sun Jan 03 11:52:49 2021	1609671169	111	733	844	155
Sun Jan 03 11:52:29 2021	1609671149	104	754	857	184
Sun Jan 03 11:53:07 2021	1609671187	109	749	858	174
Sun Jan 03 11:52:45 2021	1609671165	113	748	861	193
Sun Jan 03 11:53:06 2021	1609671186	114	747	861	195
Sun Jan 03 11:52:55 2021	1609671175	102	759	861	253
Sun Jan 03 11:52:27 2021	1609671147	105	762	867	223
Sun Jan 03 11:52:53 2021	1609671173	104	764	868	208
Sun Jan 03 11:53:03 2021	1609671183	104	771	874	246
Sun Jan 03 11:52:26 2021	1609671146	105	770	875	174
Sun Jan 03 11:53:07 2021	1609671187	115	763	878	188
Sun Jan 03 11:52:44 2021	1609671164	100	778	878	221
Sun Jan 03 11:52:53 2021	1609671173	101	780	881	187
Sun Jan 03 11:52:55 2021	1609671175	105	776	881	196
Sun Jan 03 11:52:26 2021	1609671146	103	779	883	267
Sun Jan 03 11:52:49 2021	1609671169	100	783	883	194
Sun Jan 03 11:52:26 2021	1609671146	105	778	883	190
Sun Jan 03 11:53:02 2021	1609671182	102	783	885	189
Sun Jan 03 11:52:37 2021	1609671157	106	780	886	181
Sun Jan 03 11:52:48 2021	1609671168	113	773	886	173
Sun Jan 03 11:53:02 2021	1609671182	106	783	889	166
Sun Jan 03 11:52:34 2021	1609671154	103	788	891	260
Sun Jan 03 11:52:38 2021	1609671158	108	784	893	162
Sun Jan 03 11:52:54 2021	1609671174	103	793	895	290
Sun Jan 03 11:53:03 2021	1609671183	108	789	897	242
Sun Jan 03 11:53:06 2021	1609671186	109	790	899	184
