starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 03 12:06:37 2021	1609671997	105	663	769	132
Sun Jan 03 12:06:36 2021	1609671996	101	678	779	139
Sun Jan 03 12:07:01 2021	1609672021	105	676	781	153
Sun Jan 03 12:06:46 2021	1609672006	113	688	801	177
Sun Jan 03 12:06:17 2021	1609671977	107	698	805	140
Sun Jan 03 12:06:43 2021	1609672003	105	701	806	170
Sun Jan 03 12:06:47 2021	1609672007	104	705	809	180
Sun Jan 03 12:06:33 2021	1609671993	104	708	812	159
Sun Jan 03 12:06:21 2021	1609671981	109	704	813	130
Sun Jan 03 12:06:47 2021	1609672007	105	708	813	179
Sun Jan 03 12:06:34 2021	1609671994	104	710	814	198
Sun Jan 03 12:06:33 2021	1609671993	114	700	814	201
Sun Jan 03 12:06:49 2021	1609672009	109	706	815	147
Sun Jan 03 12:06:43 2021	1609672003	111	705	816	204
Sun Jan 03 12:06:41 2021	1609672001	104	715	819	163
Sun Jan 03 12:06:31 2021	1609671991	100	720	821	198
Sun Jan 03 12:06:17 2021	1609671977	105	718	823	175
Sun Jan 03 12:06:28 2021	1609671988	115	712	827	184
Sun Jan 03 12:06:21 2021	1609671981	110	717	827	206
Sun Jan 03 12:06:25 2021	1609671985	104	725	829	163
Sun Jan 03 12:06:17 2021	1609671977	112	717	830	173
Sun Jan 03 12:06:43 2021	1609672003	104	725	830	156
Sun Jan 03 12:06:28 2021	1609671988	104	726	830	185
Sun Jan 03 12:06:27 2021	1609671987	112	718	830	187
Sun Jan 03 12:06:36 2021	1609671996	105	725	830	179
Sun Jan 03 12:06:43 2021	1609672003	104	726	831	176
Sun Jan 03 12:06:37 2021	1609671997	112	718	831	175
Sun Jan 03 12:06:56 2021	1609672016	104	727	832	190
Sun Jan 03 12:06:37 2021	1609671997	122	710	832	180
Sun Jan 03 12:06:25 2021	1609671985	105	727	832	168
Sun Jan 03 12:06:17 2021	1609671977	105	730	835	137
Sun Jan 03 12:06:34 2021	1609671994	99	736	835	195
Sun Jan 03 12:06:18 2021	1609671978	103	733	836	192
Sun Jan 03 12:06:27 2021	1609671987	108	729	837	204
Sun Jan 03 12:06:43 2021	1609672003	104	735	839	161
Sun Jan 03 12:06:31 2021	1609671991	112	727	839	206
Sun Jan 03 12:06:19 2021	1609671979	105	737	842	200
Sun Jan 03 12:06:32 2021	1609671992	106	739	845	220
Sun Jan 03 12:06:41 2021	1609672001	116	729	845	200
Sun Jan 03 12:06:17 2021	1609671977	104	742	846	185
Sun Jan 03 12:06:16 2021	1609671976	108	738	846	199
Sun Jan 03 12:07:01 2021	1609672021	105	741	846	188
Sun Jan 03 12:06:54 2021	1609672014	108	739	846	229
Sun Jan 03 12:06:53 2021	1609672013	113	734	847	185
Sun Jan 03 12:06:23 2021	1609671983	106	743	849	230
Sun Jan 03 12:06:28 2021	1609671988	114	735	850	173
Sun Jan 03 12:06:36 2021	1609671996	104	746	850	174
Sun Jan 03 12:06:25 2021	1609671985	105	746	851	240
Sun Jan 03 12:06:37 2021	1609671997	103	749	852	205
Sun Jan 03 12:06:31 2021	1609671991	104	749	853	186
Sun Jan 03 12:06:52 2021	1609672012	108	746	853	181
Sun Jan 03 12:06:43 2021	1609672003	110	743	853	186
Sun Jan 03 12:06:37 2021	1609671997	105	748	854	199
Sun Jan 03 12:06:54 2021	1609672014	104	750	855	249
Sun Jan 03 12:06:29 2021	1609671989	103	752	855	178
Sun Jan 03 12:06:27 2021	1609671987	113	745	858	214
Sun Jan 03 12:06:37 2021	1609671997	115	744	859	166
Sun Jan 03 12:06:35 2021	1609671995	103	756	859	208
Sun Jan 03 12:06:22 2021	1609671982	103	756	860	203
Sun Jan 03 12:06:53 2021	1609672013	108	751	860	201
Sun Jan 03 12:06:46 2021	1609672006	107	754	861	247
Sun Jan 03 12:06:36 2021	1609671996	107	754	861	173
Sun Jan 03 12:06:21 2021	1609671981	113	748	861	231
