starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 03 11:53:46 2021	1609671226	116	944	1060	441
Sun Jan 03 11:53:46 2021	1609671226	116	987	1104	486
Sun Jan 03 11:53:46 2021	1609671226	121	1256	1376	748
Sun Jan 03 11:55:00 2021	1609671300	108	1631	1739	1131
Sun Jan 03 11:53:52 2021	1609671232	102	1659	1762	1156
Sun Jan 03 11:53:46 2021	1609671226	124	1656	1780	1148
Sun Jan 03 11:55:21 2021	1609671321	103	1696	1799	1186
Sun Jan 03 11:54:57 2021	1609671297	108	1698	1807	1195
Sun Jan 03 11:53:49 2021	1609671229	108	1702	1809	1196
Sun Jan 03 11:53:49 2021	1609671229	113	1702	1815	1192
Sun Jan 03 11:55:00 2021	1609671300	141	1688	1829	1188
Sun Jan 03 11:53:48 2021	1609671228	110	1721	1831	1217
Sun Jan 03 11:53:48 2021	1609671228	114	1719	1833	1209
Sun Jan 03 11:55:00 2021	1609671300	117	1723	1840	1225
Sun Jan 03 11:53:55 2021	1609671235	107	1761	1867	1254
Sun Jan 03 11:53:46 2021	1609671226	120	1757	1877	1227
Sun Jan 03 11:53:48 2021	1609671228	110	1780	1890	1270
Sun Jan 03 11:53:52 2021	1609671232	103	1787	1891	1280
Sun Jan 03 11:53:49 2021	1609671229	104	1799	1904	1298
Sun Jan 03 11:53:52 2021	1609671232	114	1803	1917	1299
Sun Jan 03 11:55:27 2021	1609671327	108	1822	1930	1310
Sun Jan 03 11:53:48 2021	1609671228	105	1829	1934	1312
Sun Jan 03 11:54:07 2021	1609671247	104	1837	1940	1340
Sun Jan 03 11:53:49 2021	1609671229	107	1839	1946	1326
Sun Jan 03 11:55:03 2021	1609671303	107	1841	1948	1337
Sun Jan 03 11:54:07 2021	1609671247	107	1842	1949	1339
Sun Jan 03 11:55:21 2021	1609671321	117	1837	1954	1336
Sun Jan 03 11:55:24 2021	1609671324	109	1851	1960	1348
Sun Jan 03 11:55:00 2021	1609671300	110	1852	1962	1349
Sun Jan 03 11:54:03 2021	1609671243	102	1865	1967	1360
Sun Jan 03 11:54:13 2021	1609671253	104	1873	1977	1371
Sun Jan 03 11:54:57 2021	1609671297	101	1878	1979	1365
Sun Jan 03 11:54:51 2021	1609671291	103	1877	1979	1367
Sun Jan 03 11:54:51 2021	1609671291	102	1880	1983	1369
Sun Jan 03 11:54:54 2021	1609671294	108	1882	1990	1374
Sun Jan 03 11:53:48 2021	1609671228	120	1875	1994	1372
Sun Jan 03 11:53:51 2021	1609671231	108	1889	1998	1368
Sun Jan 03 11:53:48 2021	1609671228	105	1898	2004	1393
Sun Jan 03 11:55:27 2021	1609671327	105	1902	2007	1390
Sun Jan 03 11:55:21 2021	1609671321	122	1886	2008	1376
Sun Jan 03 11:54:51 2021	1609671291	103	1906	2010	1402
Sun Jan 03 11:55:27 2021	1609671327	112	1900	2012	1389
Sun Jan 03 11:54:54 2021	1609671294	114	1900	2014	1393
Sun Jan 03 11:54:57 2021	1609671297	104	1910	2014	1398
Sun Jan 03 11:55:03 2021	1609671303	108	1907	2015	1403
Sun Jan 03 11:55:00 2021	1609671300	163	1864	2027	1362
Sun Jan 03 11:55:27 2021	1609671327	103	1930	2033	1421
Sun Jan 03 11:54:00 2021	1609671240	112	1921	2034	1420
Sun Jan 03 11:55:03 2021	1609671303	110	1924	2034	1419
Sun Jan 03 11:54:51 2021	1609671291	114	1923	2037	1420
Sun Jan 03 11:55:17 2021	1609671317	103	1935	2039	1433
Sun Jan 03 11:55:27 2021	1609671327	107	1934	2042	1424
Sun Jan 03 11:55:00 2021	1609671300	118	1925	2043	1418
Sun Jan 03 11:55:27 2021	1609671327	111	1933	2044	1427
Sun Jan 03 11:53:48 2021	1609671228	104	1943	2046	1421
Sun Jan 03 11:55:03 2021	1609671303	107	1941	2048	1441
Sun Jan 03 11:55:21 2021	1609671321	104	1945	2049	1444
Sun Jan 03 11:53:52 2021	1609671232	114	1940	2054	1432
Sun Jan 03 11:54:07 2021	1609671247	99	1957	2056	1438
Sun Jan 03 11:53:48 2021	1609671228	105	1955	2060	1438
Sun Jan 03 11:55:24 2021	1609671324	112	1949	2061	1447
Sun Jan 03 11:55:21 2021	1609671321	111	1952	2063	1444
Sun Jan 03 11:54:07 2021	1609671247	115	1948	2063	1446
Sun Jan 03 11:55:24 2021	1609671324	105	1959	2064	1453
Sun Jan 03 11:53:58 2021	1609671238	104	1960	2064	1455
Sun Jan 03 11:53:49 2021	1609671229	106	1961	2067	1455
Sun Jan 03 11:53:48 2021	1609671228	112	1956	2067	1456
Sun Jan 03 11:55:03 2021	1609671303	108	1966	2074	1467
Sun Jan 03 11:55:28 2021	1609671328	103	1972	2075	1466
Sun Jan 03 11:55:08 2021	1609671308	106	1970	2076	1467
Sun Jan 03 11:55:11 2021	1609671311	103	1975	2078	1472
