starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 03 11:33:58 2021	1609670038	105	661	766	153
Sun Jan 03 11:33:47 2021	1609670027	103	677	780	126
Sun Jan 03 11:33:56 2021	1609670036	100	691	791	152
Sun Jan 03 11:33:43 2021	1609670023	102	690	792	176
Sun Jan 03 11:33:41 2021	1609670021	112	681	793	160
Sun Jan 03 11:33:36 2021	1609670016	101	692	793	128
Sun Jan 03 11:33:43 2021	1609670023	114	683	797	173
Sun Jan 03 11:33:44 2021	1609670024	104	701	805	164
Sun Jan 03 11:33:36 2021	1609670016	103	706	809	133
Sun Jan 03 11:33:44 2021	1609670024	114	698	812	139
Sun Jan 03 11:33:54 2021	1609670034	103	711	813	150
Sun Jan 03 11:33:42 2021	1609670022	114	702	816	177
Sun Jan 03 11:33:36 2021	1609670016	101	715	816	142
Sun Jan 03 11:33:43 2021	1609670023	104	715	819	174
Sun Jan 03 11:33:42 2021	1609670022	103	718	821	190
Sun Jan 03 11:33:38 2021	1609670018	105	716	822	194
Sun Jan 03 11:33:36 2021	1609670016	113	718	830	196
Sun Jan 03 11:33:39 2021	1609670019	104	730	834	173
Sun Jan 03 11:33:38 2021	1609670018	106	732	838	175
Sun Jan 03 11:33:54 2021	1609670034	103	736	839	184
Sun Jan 03 11:33:36 2021	1609670016	112	732	844	193
Sun Jan 03 11:33:58 2021	1609670038	109	735	844	198
Sun Jan 03 11:33:42 2021	1609670022	113	732	845	187
Sun Jan 03 11:33:54 2021	1609670034	114	732	846	209
Sun Jan 03 11:33:51 2021	1609670031	107	740	847	160
Sun Jan 03 11:33:36 2021	1609670016	113	733	847	190
Sun Jan 03 11:33:42 2021	1609670022	107	742	849	212
Sun Jan 03 11:33:54 2021	1609670034	113	736	849	195
Sun Jan 03 11:33:39 2021	1609670019	105	746	851	187
Sun Jan 03 11:33:43 2021	1609670023	102	750	852	168
Sun Jan 03 11:33:58 2021	1609670038	104	748	852	153
Sun Jan 03 11:33:55 2021	1609670035	106	748	854	239
Sun Jan 03 11:33:42 2021	1609670022	115	738	854	162
Sun Jan 03 11:33:35 2021	1609670015	102	752	854	205
Sun Jan 03 11:33:44 2021	1609670024	104	751	854	213
Sun Jan 03 11:33:41 2021	1609670021	104	752	856	217
Sun Jan 03 11:33:56 2021	1609670036	105	751	856	142
Sun Jan 03 11:33:43 2021	1609670023	107	752	859	218
Sun Jan 03 11:33:38 2021	1609670018	108	752	859	213
Sun Jan 03 11:33:45 2021	1609670025	106	753	859	187
Sun Jan 03 11:33:43 2021	1609670023	103	757	860	209
Sun Jan 03 11:33:38 2021	1609670018	116	744	860	225
Sun Jan 03 11:33:39 2021	1609670019	102	759	861	164
Sun Jan 03 11:33:43 2021	1609670023	109	753	863	161
Sun Jan 03 11:33:53 2021	1609670033	107	757	864	185
Sun Jan 03 11:33:39 2021	1609670019	102	763	865	247
Sun Jan 03 11:33:41 2021	1609670021	104	762	866	256
Sun Jan 03 11:33:54 2021	1609670034	107	760	867	198
Sun Jan 03 11:33:42 2021	1609670022	109	758	867	222
Sun Jan 03 11:33:36 2021	1609670016	112	756	869	214
Sun Jan 03 11:33:41 2021	1609670021	105	764	869	212
Sun Jan 03 11:33:39 2021	1609670019	107	763	870	242
Sun Jan 03 11:33:52 2021	1609670032	101	769	870	215
Sun Jan 03 11:33:44 2021	1609670024	105	768	873	262
Sun Jan 03 11:33:53 2021	1609670033	105	768	873	189
Sun Jan 03 11:33:38 2021	1609670018	105	770	875	199
Sun Jan 03 11:33:51 2021	1609670031	105	771	876	185
Sun Jan 03 11:33:56 2021	1609670036	110	769	879	259
Sun Jan 03 11:33:43 2021	1609670023	113	766	879	206
Sun Jan 03 11:33:53 2021	1609670033	103	777	880	215
Sun Jan 03 11:33:38 2021	1609670018	105	776	881	217
Sun Jan 03 11:33:38 2021	1609670018	104	782	885	197
Sun Jan 03 11:33:38 2021	1609670018	101	786	887	217
Sun Jan 03 11:33:36 2021	1609670016	105	782	887	220
Sun Jan 03 11:33:43 2021	1609670023	99	789	889	256
Sun Jan 03 11:33:39 2021	1609670019	113	777	890	218
Sun Jan 03 11:33:37 2021	1609670017	103	787	890	258
Sun Jan 03 11:33:40 2021	1609670020	115	776	891	336
Sun Jan 03 11:33:42 2021	1609670022	105	786	891	205
Sun Jan 03 11:33:51 2021	1609670031	105	787	892	180
Sun Jan 03 11:33:45 2021	1609670025	116	776	892	218
Sun Jan 03 11:33:55 2021	1609670035	105	787	892	237
Sun Jan 03 11:33:52 2021	1609670032	113	781	894	218
Sun Jan 03 11:33:43 2021	1609670023	104	792	896	240
Sun Jan 03 11:33:55 2021	1609670035	105	793	898	273
Sun Jan 03 11:33:37 2021	1609670017	112	787	899	231
Sun Jan 03 11:33:43 2021	1609670023	100	798	899	255
Sun Jan 03 11:33:42 2021	1609670022	108	791	900	253
Sun Jan 03 11:33:55 2021	1609670035	102	798	900	174
Sun Jan 03 11:33:36 2021	1609670016	110	791	901	192
Sun Jan 03 11:33:44 2021	1609670024	103	798	901	241
Sun Jan 03 11:33:44 2021	1609670024	117	784	901	208
Sun Jan 03 11:33:39 2021	1609670019	102	800	902	286
Sun Jan 03 11:33:37 2021	1609670017	105	798	903	248
Sun Jan 03 11:33:43 2021	1609670023	104	802	906	256
Sun Jan 03 11:33:37 2021	1609670017	106	800	906	224
Sun Jan 03 11:33:39 2021	1609670019	104	803	907	176
Sun Jan 03 11:33:53 2021	1609670033	112	797	909	278
Sun Jan 03 11:33:49 2021	1609670029	108	802	909	237
Sun Jan 03 11:33:35 2021	1609670015	102	808	910	253
Sun Jan 03 11:33:52 2021	1609670032	103	807	910	219
Sun Jan 03 11:33:42 2021	1609670022	113	797	910	197
Sun Jan 03 11:33:53 2021	1609670033	103	807	910	233
Sun Jan 03 11:33:56 2021	1609670036	101	810	910	190
Sun Jan 03 11:33:43 2021	1609670023	104	807	911	245
Sun Jan 03 11:33:53 2021	1609670033	104	807	912	291
Sun Jan 03 11:33:43 2021	1609670023	111	802	913	176
Sun Jan 03 11:33:56 2021	1609670036	109	804	913	198
Sun Jan 03 11:33:37 2021	1609670017	103	811	914	243
Sun Jan 03 11:33:39 2021	1609670019	114	800	914	205
Sun Jan 03 11:33:34 2021	1609670014	104	810	914	216
Sun Jan 03 11:33:51 2021	1609670031	109	806	915	247
Sun Jan 03 11:33:44 2021	1609670024	113	803	916	210
Sun Jan 03 11:33:41 2021	1609670021	114	802	916	213
Sun Jan 03 11:33:49 2021	1609670029	104	813	916	269
Sun Jan 03 11:33:43 2021	1609670023	115	802	916	272
Sun Jan 03 11:33:42 2021	1609670022	115	803	918	173
Sun Jan 03 11:33:41 2021	1609670021	113	806	918	196
Sun Jan 03 11:33:51 2021	1609670031	108	811	919	290
Sun Jan 03 11:33:53 2021	1609670033	109	812	921	237
Sun Jan 03 11:33:36 2021	1609670016	104	817	921	225
Sun Jan 03 11:33:51 2021	1609670031	102	819	921	268
Sun Jan 03 11:33:51 2021	1609670031	106	815	921	237
Sun Jan 03 11:33:44 2021	1609670024	117	805	922	239
Sun Jan 03 11:33:53 2021	1609670033	103	820	923	205
Sun Jan 03 11:33:38 2021	1609670018	105	820	925	247
Sun Jan 03 11:33:37 2021	1609670017	106	819	926	315
Sun Jan 03 11:33:37 2021	1609670017	116	810	926	257
Sun Jan 03 11:33:43 2021	1609670023	104	823	927	208
Sun Jan 03 11:33:37 2021	1609670017	100	827	927	226
Sun Jan 03 11:33:35 2021	1609670015	109	819	928	234
Sun Jan 03 11:33:53 2021	1609670033	105	824	929	247
Sun Jan 03 11:33:52 2021	1609670032	105	824	929	204
Sun Jan 03 11:33:35 2021	1609670015	113	817	929	188
Sun Jan 03 11:33:43 2021	1609670023	102	828	930	262
Sun Jan 03 11:33:39 2021	1609670019	111	819	930	207
Sun Jan 03 11:33:36 2021	1609670016	114	817	931	230
Sun Jan 03 11:33:52 2021	1609670032	112	820	932	233
Sun Jan 03 11:33:43 2021	1609670023	109	823	932	314
Sun Jan 03 11:33:50 2021	1609670030	113	820	933	233
Sun Jan 03 11:33:51 2021	1609670031	103	830	933	249
Sun Jan 03 11:33:54 2021	1609670034	113	820	933	243
Sun Jan 03 11:33:33 2021	1609670013	112	823	935	243
Sun Jan 03 11:33:48 2021	1609670028	107	829	936	239
Sun Jan 03 11:33:38 2021	1609670018	101	836	936	258
Sun Jan 03 11:33:51 2021	1609670031	116	821	937	282
Sun Jan 03 11:33:39 2021	1609670019	104	833	937	268
Sun Jan 03 11:33:43 2021	1609670023	109	828	938	248
Sun Jan 03 11:33:38 2021	1609670018	104	834	938	305
Sun Jan 03 11:33:41 2021	1609670021	105	835	941	231
Sun Jan 03 11:33:43 2021	1609670023	118	823	941	237
Sun Jan 03 11:33:52 2021	1609670032	118	823	941	223
Sun Jan 03 11:33:41 2021	1609670021	107	834	942	238
Sun Jan 03 11:33:56 2021	1609670036	104	838	942	243
