starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 06 22:40:48 2021	1609969248	141	1163	1304	651
Wed Jan 06 22:40:48 2021	1609969248	141	1163	1304	652
Wed Jan 06 22:40:48 2021	1609969248	142	1163	1305	652
Wed Jan 06 22:40:48 2021	1609969248	142	1284	1425	857
Wed Jan 06 22:40:48 2021	1609969248	142	1310	1452	856
Wed Jan 06 22:40:48 2021	1609969248	142	1350	1491	856
Wed Jan 06 22:40:48 2021	1609969248	142	1350	1492	856
Wed Jan 06 22:40:48 2021	1609969248	141	1438	1579	924
Wed Jan 06 22:42:32 2021	1609969352	102	1480	1582	976
Wed Jan 06 22:42:32 2021	1609969352	102	1518	1620	1015
Wed Jan 06 22:42:32 2021	1609969352	114	1551	1665	1067
Wed Jan 06 22:42:32 2021	1609969352	105	1596	1701	1097
Wed Jan 06 22:42:32 2021	1609969352	113	1617	1730	1109
Wed Jan 06 22:42:32 2021	1609969352	114	1620	1733	1115
Wed Jan 06 22:42:32 2021	1609969352	115	1644	1759	1143
Wed Jan 06 22:40:48 2021	1609969248	142	1643	1785	1163
Wed Jan 06 22:42:32 2021	1609969352	113	1699	1813	1197
Wed Jan 06 22:40:48 2021	1609969248	142	1696	1838	1184
Wed Jan 06 22:40:48 2021	1609969248	142	1716	1858	1211
Wed Jan 06 22:42:32 2021	1609969352	105	1757	1862	1252
Wed Jan 06 22:42:32 2021	1609969352	100	1770	1870	1267
Wed Jan 06 22:40:48 2021	1609969248	142	1743	1885	1241
Wed Jan 06 22:42:32 2021	1609969352	103	1857	1960	1350
Wed Jan 06 22:40:48 2021	1609969248	141	1843	1984	1322
Wed Jan 06 22:42:32 2021	1609969352	128	1872	2000	1365
Wed Jan 06 22:40:48 2021	1609969248	142	1889	2031	1386
Wed Jan 06 22:40:48 2021	1609969248	143	1896	2039	1386
Wed Jan 06 22:41:59 2021	1609969319	102	1938	2039	1431
Wed Jan 06 22:41:41 2021	1609969301	105	1950	2055	1439
Wed Jan 06 22:42:32 2021	1609969352	105	1959	2064	1454
Wed Jan 06 22:41:37 2021	1609969297	106	1970	2075	1465
Wed Jan 06 22:42:32 2021	1609969352	102	1976	2078	1447
Wed Jan 06 22:40:48 2021	1609969248	141	1938	2079	1421
Wed Jan 06 22:42:31 2021	1609969351	101	1981	2081	1477
Wed Jan 06 22:42:18 2021	1609969338	105	1977	2082	1471
Wed Jan 06 22:42:32 2021	1609969352	107	1986	2092	1480
Wed Jan 06 22:42:32 2021	1609969352	125	1969	2093	1456
Wed Jan 06 22:42:32 2021	1609969352	112	1982	2094	1441
Wed Jan 06 22:41:58 2021	1609969318	115	1979	2094	1480
Wed Jan 06 22:41:37 2021	1609969297	112	1989	2102	1490
Wed Jan 06 22:41:44 2021	1609969304	104	2012	2116	1510
Wed Jan 06 22:42:11 2021	1609969331	115	2003	2118	1497
Wed Jan 06 22:41:37 2021	1609969297	114	2013	2127	1512
Wed Jan 06 22:41:59 2021	1609969319	118	2009	2127	1475
Wed Jan 06 22:42:18 2021	1609969338	104	2025	2129	1519
Wed Jan 06 22:42:31 2021	1609969351	105	2031	2137	1523
Wed Jan 06 22:42:01 2021	1609969321	104	2042	2147	1540
Wed Jan 06 22:42:14 2021	1609969334	112	2035	2147	1532
Wed Jan 06 22:42:18 2021	1609969338	108	2049	2157	1553
Wed Jan 06 22:41:50 2021	1609969310	102	2058	2160	1557
Wed Jan 06 22:41:37 2021	1609969297	113	2048	2161	1551
