starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 08 15:58:28 2021	1610117908	138	736	873	244
Fri Jan 08 15:58:28 2021	1610117908	155	805	960	319
Fri Jan 08 15:58:28 2021	1610117908	154	809	963	306
Fri Jan 08 15:58:28 2021	1610117908	153	890	1043	392
Fri Jan 08 15:57:44 2021	1610117864	134	984	1118	481
Fri Jan 08 15:57:47 2021	1610117867	139	1184	1323	695
Fri Jan 08 15:57:47 2021	1610117867	145	1182	1327	693
Fri Jan 08 15:57:47 2021	1610117867	152	1178	1330	684
Fri Jan 08 15:58:33 2021	1610117913	149	1191	1340	689
Fri Jan 08 15:58:33 2021	1610117913	154	1229	1383	740
Fri Jan 08 15:58:33 2021	1610117913	138	1281	1418	790
Fri Jan 08 15:58:33 2021	1610117913	149	1294	1443	759
Fri Jan 08 15:57:47 2021	1610117867	133	1318	1451	826
Fri Jan 08 15:57:47 2021	1610117867	140	1327	1467	823
Fri Jan 08 15:58:28 2021	1610117908	159	1321	1480	826
Fri Jan 08 15:58:33 2021	1610117913	144	1342	1486	848
Fri Jan 08 15:58:28 2021	1610117908	158	1356	1514	814
Fri Jan 08 15:58:16 2021	1610117896	144	1378	1521	891
Fri Jan 08 15:58:28 2021	1610117908	147	1376	1522	865
Fri Jan 08 15:58:32 2021	1610117912	126	1436	1562	928
Fri Jan 08 15:58:17 2021	1610117897	139	1458	1596	939
Fri Jan 08 15:58:16 2021	1610117896	154	1447	1601	965
Fri Jan 08 15:58:17 2021	1610117897	149	1468	1617	962
Fri Jan 08 15:57:48 2021	1610117868	149	1475	1624	934
Fri Jan 08 15:58:17 2021	1610117897	152	1473	1625	965
Fri Jan 08 15:57:48 2021	1610117868	143	1485	1628	965
Fri Jan 08 15:58:17 2021	1610117897	135	1494	1629	989
Fri Jan 08 15:57:48 2021	1610117868	160	1470	1630	972
Fri Jan 08 15:58:16 2021	1610117896	146	1490	1636	1007
Fri Jan 08 15:57:44 2021	1610117864	136	1513	1648	1020
Fri Jan 08 15:57:44 2021	1610117864	159	1497	1656	974
Fri Jan 08 15:58:16 2021	1610117896	154	1512	1665	1012
Fri Jan 08 15:58:36 2021	1610117916	150	1516	1666	1032
Fri Jan 08 15:58:36 2021	1610117916	142	1543	1684	1048
Fri Jan 08 15:58:36 2021	1610117916	154	1533	1687	1038
Fri Jan 08 15:58:17 2021	1610117897	140	1549	1689	1036
Fri Jan 08 15:58:17 2021	1610117897	148	1544	1692	1054
Fri Jan 08 15:57:57 2021	1610117877	149	1556	1705	1053
Fri Jan 08 15:57:54 2021	1610117874	143	1563	1706	1063
Fri Jan 08 15:58:28 2021	1610117908	155	1554	1708	1051
Fri Jan 08 15:58:29 2021	1610117909	156	1556	1712	1038
Fri Jan 08 15:58:17 2021	1610117897	144	1571	1715	1082
Fri Jan 08 15:58:33 2021	1610117913	134	1581	1715	1080
Fri Jan 08 15:57:47 2021	1610117867	134	1585	1720	1084
Fri Jan 08 15:58:28 2021	1610117908	158	1567	1725	1065
Fri Jan 08 15:58:28 2021	1610117908	159	1566	1726	1079
Fri Jan 08 15:58:35 2021	1610117915	135	1600	1735	1106
Fri Jan 08 15:58:28 2021	1610117908	155	1583	1738	1085
Fri Jan 08 15:57:44 2021	1610117864	134	1610	1744	1106
Fri Jan 08 15:58:17 2021	1610117897	127	1628	1755	1125
Fri Jan 08 15:57:47 2021	1610117867	133	1632	1765	1132
Fri Jan 08 15:58:16 2021	1610117896	144	1624	1768	1120
Fri Jan 08 15:58:35 2021	1610117915	140	1629	1769	1127
Fri Jan 08 15:57:46 2021	1610117866	126	1650	1776	1147
Fri Jan 08 15:57:54 2021	1610117874	155	1623	1779	1114
Fri Jan 08 15:57:47 2021	1610117867	140	1641	1781	1131
Fri Jan 08 15:58:32 2021	1610117912	140	1645	1784	1154
Fri Jan 08 15:58:28 2021	1610117908	158	1645	1804	1137
Fri Jan 08 15:58:33 2021	1610117913	136	1674	1810	1178
Fri Jan 08 15:58:17 2021	1610117897	166	1653	1819	1141
Fri Jan 08 15:58:32 2021	1610117912	133	1687	1820	1198
Fri Jan 08 15:58:17 2021	1610117897	126	1699	1825	1211
Fri Jan 08 15:58:29 2021	1610117909	137	1695	1832	1193
Fri Jan 08 15:58:28 2021	1610117908	147	1688	1836	1160
Fri Jan 08 15:58:13 2021	1610117893	134	1703	1836	1192
Fri Jan 08 15:58:03 2021	1610117883	157	1684	1842	1182
Fri Jan 08 15:58:20 2021	1610117900	147	1700	1847	1214
Fri Jan 08 15:57:48 2021	1610117868	134	1714	1848	1212
Fri Jan 08 15:58:17 2021	1610117897	134	1715	1849	1229
Fri Jan 08 15:57:48 2021	1610117868	142	1714	1856	1187
Fri Jan 08 15:58:13 2021	1610117893	143	1714	1857	1229
Fri Jan 08 15:58:35 2021	1610117915	155	1704	1859	1215
Fri Jan 08 15:58:13 2021	1610117893	132	1727	1859	1212
Fri Jan 08 15:58:16 2021	1610117896	143	1721	1863	1223
Fri Jan 08 15:58:29 2021	1610117909	136	1738	1874	1233
Fri Jan 08 15:58:29 2021	1610117909	138	1738	1876	1246
Fri Jan 08 15:57:48 2021	1610117868	132	1745	1877	1209
Fri Jan 08 15:57:46 2021	1610117866	149	1728	1877	1235
Fri Jan 08 15:58:32 2021	1610117912	126	1758	1884	1233
Fri Jan 08 15:57:54 2021	1610117874	129	1760	1889	1250
Fri Jan 08 15:58:03 2021	1610117883	157	1746	1903	1247
Fri Jan 08 15:57:57 2021	1610117877	135	1770	1905	1268
Fri Jan 08 15:58:28 2021	1610117908	154	1753	1907	1259
Fri Jan 08 15:58:13 2021	1610117893	136	1772	1908	1269
Fri Jan 08 15:58:29 2021	1610117909	146	1768	1915	1279
Fri Jan 08 15:58:03 2021	1610117883	131	1793	1925	1271
Fri Jan 08 15:58:35 2021	1610117915	132	1797	1930	1310
Fri Jan 08 15:58:20 2021	1610117900	133	1808	1941	1304
Fri Jan 08 15:58:16 2021	1610117896	139	1803	1942	1302
Fri Jan 08 15:58:32 2021	1610117912	137	1807	1943	1308
Fri Jan 08 15:57:46 2021	1610117866	148	1798	1946	1304
Fri Jan 08 15:58:17 2021	1610117897	152	1797	1948	1295
Fri Jan 08 15:58:28 2021	1610117908	159	1793	1952	1295
Fri Jan 08 15:58:35 2021	1610117915	128	1829	1957	1332
Fri Jan 08 15:58:36 2021	1610117916	132	1824	1957	1334
Fri Jan 08 15:58:35 2021	1610117915	134	1825	1959	1338
Fri Jan 08 15:58:28 2021	1610117908	147	1812	1960	1300
Fri Jan 08 15:57:48 2021	1610117868	138	1825	1963	1312
Fri Jan 08 15:58:06 2021	1610117886	147	1825	1972	1336
Fri Jan 08 15:58:20 2021	1610117900	153	1827	1980	1322
Fri Jan 08 15:58:29 2021	1610117909	167	1820	1987	1309
Fri Jan 08 15:58:17 2021	1610117897	148	1840	1988	1333
Fri Jan 08 15:57:55 2021	1610117875	139	1850	1989	1361
Fri Jan 08 15:58:00 2021	1610117880	128	1862	1990	1362
Fri Jan 08 15:57:48 2021	1610117868	144	1848	1991	1344
Fri Jan 08 15:58:23 2021	1610117903	142	1850	1992	1362
Fri Jan 08 15:57:57 2021	1610117877	133	1860	1993	1356
Fri Jan 08 15:58:06 2021	1610117886	140	1860	2000	1359
Fri Jan 08 15:57:55 2021	1610117875	140	1865	2005	1363
Fri Jan 08 15:58:17 2021	1610117897	152	1854	2006	1364
Fri Jan 08 15:57:48 2021	1610117868	142	1868	2010	1349
Fri Jan 08 15:57:48 2021	1610117868	151	1866	2016	1368
Fri Jan 08 15:58:33 2021	1610117913	146	1875	2021	1372
Fri Jan 08 15:57:44 2021	1610117864	158	1867	2025	1354
Fri Jan 08 15:57:54 2021	1610117874	140	1888	2028	1386
Fri Jan 08 15:58:13 2021	1610117893	140	1888	2028	1387
Fri Jan 08 15:57:48 2021	1610117868	139	1893	2032	1389
Fri Jan 08 15:58:36 2021	1610117916	147	1886	2034	1393
Fri Jan 08 15:58:20 2021	1610117900	134	1900	2034	1395
Fri Jan 08 15:57:48 2021	1610117868	139	1897	2036	1381
Fri Jan 08 15:58:29 2021	1610117909	158	1878	2037	1377
Fri Jan 08 15:58:33 2021	1610117913	141	1899	2039	1410
Fri Jan 08 15:57:54 2021	1610117874	140	1900	2040	1394
Fri Jan 08 15:58:09 2021	1610117889	133	1910	2043	1404
Fri Jan 08 15:58:36 2021	1610117916	156	1888	2044	1401
Fri Jan 08 15:57:48 2021	1610117868	137	1910	2047	1404
Fri Jan 08 15:58:03 2021	1610117883	132	1916	2048	1427
Fri Jan 08 15:58:32 2021	1610117912	133	1918	2051	1408
Fri Jan 08 15:57:48 2021	1610117868	144	1906	2051	1404
Fri Jan 08 15:57:44 2021	1610117864	136	1916	2052	1409
Fri Jan 08 15:58:13 2021	1610117893	137	1917	2054	1428
Fri Jan 08 15:57:44 2021	1610117864	134	1924	2058	1436
