starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 06 22:39:23 2021	1609969163	113	5075	5188	4555
Wed Jan 06 22:39:23 2021	1609969163	106	5091	5197	4571
Wed Jan 06 22:39:23 2021	1609969163	103	5155	5258	4643
Wed Jan 06 22:39:18 2021	1609969158	107	5170	5277	4656
Wed Jan 06 22:39:22 2021	1609969162	113	5165	5278	4664
Wed Jan 06 22:39:22 2021	1609969162	106	5208	5314	4696
Wed Jan 06 22:39:23 2021	1609969163	100	5274	5374	4777
Wed Jan 06 22:39:10 2021	1609969150	112	5269	5381	4742
Wed Jan 06 22:39:06 2021	1609969146	173	5210	5383	4707
Wed Jan 06 22:39:09 2021	1609969149	104	5285	5389	4781
Wed Jan 06 22:39:22 2021	1609969162	105	5289	5394	4783
Wed Jan 06 22:39:22 2021	1609969162	105	5334	5439	4828
Wed Jan 06 22:39:06 2021	1609969146	170	5326	5496	4813
Wed Jan 06 22:39:06 2021	1609969146	173	5363	5536	4824
Wed Jan 06 22:39:22 2021	1609969162	113	5428	5541	4914
Wed Jan 06 22:39:06 2021	1609969146	172	5383	5555	4881
Wed Jan 06 22:39:21 2021	1609969161	108	5473	5581	4969
Wed Jan 06 22:39:06 2021	1609969146	173	5431	5604	4918
Wed Jan 06 22:39:22 2021	1609969162	103	5608	5711	5106
Wed Jan 06 22:39:21 2021	1609969161	102	5767	5869	5269
Wed Jan 06 22:39:06 2021	1609969146	180	5901	6081	5398
Wed Jan 06 22:39:21 2021	1609969161	103	6393	6496	5892
Wed Jan 06 22:39:17 2021	1609969157	115	9181	9295	8675
