starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 06 22:51:54 2021	1609969914	106	669	775	142
Wed Jan 06 22:51:59 2021	1609969919	104	680	784	150
Wed Jan 06 22:52:35 2021	1609969955	103	686	789	132
Wed Jan 06 22:51:54 2021	1609969914	112	679	791	155
Wed Jan 06 22:52:24 2021	1609969944	111	681	792	168
Wed Jan 06 22:52:15 2021	1609969935	112	685	797	180
Wed Jan 06 22:52:24 2021	1609969944	104	694	799	146
Wed Jan 06 22:52:20 2021	1609969940	113	689	801	163
Wed Jan 06 22:52:13 2021	1609969933	103	699	802	144
Wed Jan 06 22:52:10 2021	1609969930	108	697	805	157
Wed Jan 06 22:51:52 2021	1609969912	103	702	805	154
Wed Jan 06 22:52:20 2021	1609969940	99	709	809	142
Wed Jan 06 22:52:40 2021	1609969960	103	710	813	178
Wed Jan 06 22:52:39 2021	1609969959	108	706	814	188
Wed Jan 06 22:52:33 2021	1609969953	107	712	819	189
Wed Jan 06 22:52:30 2021	1609969950	99	720	819	183
Wed Jan 06 22:52:39 2021	1609969959	107	713	820	180
Wed Jan 06 22:52:28 2021	1609969948	107	714	821	169
Wed Jan 06 22:51:52 2021	1609969912	103	719	822	156
Wed Jan 06 22:51:59 2021	1609969919	106	717	823	164
Wed Jan 06 22:52:21 2021	1609969941	114	710	824	186
Wed Jan 06 22:52:22 2021	1609969942	103	722	825	126
Wed Jan 06 22:52:17 2021	1609969937	100	726	826	148
Wed Jan 06 22:51:54 2021	1609969914	105	722	827	162
Wed Jan 06 22:52:14 2021	1609969934	118	710	828	172
Wed Jan 06 22:52:19 2021	1609969939	112	717	829	186
Wed Jan 06 22:52:17 2021	1609969937	103	728	831	206
Wed Jan 06 22:51:52 2021	1609969912	107	725	832	146
Wed Jan 06 22:51:57 2021	1609969917	105	727	832	193
Wed Jan 06 22:52:18 2021	1609969938	110	722	832	168
Wed Jan 06 22:52:05 2021	1609969925	103	730	833	181
Wed Jan 06 22:52:24 2021	1609969944	111	723	834	175
Wed Jan 06 22:52:05 2021	1609969925	119	715	835	169
Wed Jan 06 22:52:00 2021	1609969920	106	732	837	181
Wed Jan 06 22:51:57 2021	1609969917	103	735	838	163
Wed Jan 06 22:52:27 2021	1609969947	110	729	839	180
Wed Jan 06 22:51:54 2021	1609969914	103	736	839	202
Wed Jan 06 22:51:52 2021	1609969912	104	740	844	211
Wed Jan 06 22:51:54 2021	1609969914	112	734	847	217
Wed Jan 06 22:52:21 2021	1609969941	118	729	847	192
Wed Jan 06 22:51:59 2021	1609969919	104	743	848	188
Wed Jan 06 22:52:13 2021	1609969933	104	744	848	184
Wed Jan 06 22:52:19 2021	1609969939	118	730	848	213
Wed Jan 06 22:51:52 2021	1609969912	104	744	848	178
Wed Jan 06 22:52:37 2021	1609969957	106	744	850	156
Wed Jan 06 22:52:21 2021	1609969941	113	738	851	176
Wed Jan 06 22:52:05 2021	1609969925	103	748	852	147
Wed Jan 06 22:52:29 2021	1609969949	104	748	852	239
Wed Jan 06 22:52:17 2021	1609969937	107	745	852	198
Wed Jan 06 22:52:24 2021	1609969944	111	746	857	159
Wed Jan 06 22:52:21 2021	1609969941	112	746	858	213
Wed Jan 06 22:52:03 2021	1609969923	100	758	859	257
Wed Jan 06 22:51:53 2021	1609969913	104	757	860	172
Wed Jan 06 22:52:19 2021	1609969939	103	758	861	207
Wed Jan 06 22:51:54 2021	1609969914	103	758	862	160
Wed Jan 06 22:52:05 2021	1609969925	103	760	863	174
Wed Jan 06 22:51:54 2021	1609969914	107	756	864	216
Wed Jan 06 22:52:06 2021	1609969926	107	757	864	234
Wed Jan 06 22:52:28 2021	1609969948	103	761	864	177
Wed Jan 06 22:52:24 2021	1609969944	104	760	864	198
Wed Jan 06 22:52:37 2021	1609969957	108	757	864	165
Wed Jan 06 22:52:20 2021	1609969940	100	765	865	218
Wed Jan 06 22:52:13 2021	1609969933	100	765	865	260
Wed Jan 06 22:52:25 2021	1609969945	106	759	865	253
Wed Jan 06 22:52:29 2021	1609969949	100	766	866	166
Wed Jan 06 22:51:54 2021	1609969914	104	763	867	192
Wed Jan 06 22:52:25 2021	1609969945	118	750	867	156
Wed Jan 06 22:52:20 2021	1609969940	113	755	868	232
Wed Jan 06 22:51:54 2021	1609969914	103	765	869	247
Wed Jan 06 22:52:36 2021	1609969956	105	764	869	155
Wed Jan 06 22:51:54 2021	1609969914	102	767	869	231
Wed Jan 06 22:52:25 2021	1609969945	114	756	869	195
Wed Jan 06 22:51:53 2021	1609969913	113	757	870	211
Wed Jan 06 22:52:17 2021	1609969937	104	766	870	185
Wed Jan 06 22:52:13 2021	1609969933	115	756	870	193
Wed Jan 06 22:52:38 2021	1609969958	109	762	871	195
Wed Jan 06 22:51:54 2021	1609969914	115	756	871	216
Wed Jan 06 22:52:25 2021	1609969945	105	766	871	227
Wed Jan 06 22:52:29 2021	1609969949	103	768	872	217
Wed Jan 06 22:52:18 2021	1609969938	106	766	872	192
Wed Jan 06 22:52:09 2021	1609969929	106	767	872	210
Wed Jan 06 22:52:39 2021	1609969959	106	767	872	236
Wed Jan 06 22:52:12 2021	1609969932	103	770	873	229
Wed Jan 06 22:52:30 2021	1609969950	113	760	873	207
Wed Jan 06 22:52:30 2021	1609969950	103	770	873	203
Wed Jan 06 22:51:53 2021	1609969913	106	767	873	212
Wed Jan 06 22:52:04 2021	1609969924	104	771	875	201
Wed Jan 06 22:52:18 2021	1609969938	104	771	875	243
Wed Jan 06 22:52:40 2021	1609969960	107	768	875	199
Wed Jan 06 22:52:40 2021	1609969960	101	774	875	161
Wed Jan 06 22:52:30 2021	1609969950	105	770	875	196
Wed Jan 06 22:51:49 2021	1609969909	103	773	876	238
Wed Jan 06 22:52:20 2021	1609969940	107	769	876	187
Wed Jan 06 22:52:06 2021	1609969926	104	772	876	212
Wed Jan 06 22:51:52 2021	1609969912	101	776	877	217
Wed Jan 06 22:52:25 2021	1609969945	103	775	879	198
Wed Jan 06 22:52:39 2021	1609969959	100	779	880	148
Wed Jan 06 22:52:30 2021	1609969950	116	764	880	191
Wed Jan 06 22:51:53 2021	1609969913	107	774	882	214
