starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 06 22:35:21 2021	1609968921	102	660	762	134
Wed Jan 06 22:35:09 2021	1609968909	104	672	776	173
Wed Jan 06 22:35:16 2021	1609968916	113	666	779	149
Wed Jan 06 22:35:07 2021	1609968907	104	675	779	132
Wed Jan 06 22:35:21 2021	1609968921	104	677	781	145
Wed Jan 06 22:35:08 2021	1609968908	102	680	782	148
Wed Jan 06 22:35:15 2021	1609968915	106	676	783	173
Wed Jan 06 22:35:16 2021	1609968916	103	683	785	138
Wed Jan 06 22:35:08 2021	1609968908	99	693	792	147
Wed Jan 06 22:35:14 2021	1609968914	113	684	797	142
Wed Jan 06 22:35:14 2021	1609968914	103	698	801	148
Wed Jan 06 22:35:22 2021	1609968922	117	689	806	169
Wed Jan 06 22:35:10 2021	1609968910	101	707	808	179
Wed Jan 06 22:35:15 2021	1609968915	106	702	808	125
Wed Jan 06 22:35:10 2021	1609968910	104	705	808	132
Wed Jan 06 22:35:20 2021	1609968920	104	706	810	191
Wed Jan 06 22:35:21 2021	1609968921	116	699	815	137
Wed Jan 06 22:35:20 2021	1609968920	104	714	818	171
Wed Jan 06 22:35:07 2021	1609968907	107	716	822	179
Wed Jan 06 22:35:09 2021	1609968909	109	714	823	164
Wed Jan 06 22:35:15 2021	1609968915	105	721	825	155
Wed Jan 06 22:35:07 2021	1609968907	104	722	826	139
Wed Jan 06 22:35:07 2021	1609968907	108	720	827	146
Wed Jan 06 22:35:09 2021	1609968909	100	732	831	150
Wed Jan 06 22:35:08 2021	1609968908	104	732	836	149
Wed Jan 06 22:35:16 2021	1609968916	111	728	840	170
Wed Jan 06 22:35:07 2021	1609968907	109	733	842	216
Wed Jan 06 22:35:09 2021	1609968909	105	738	842	177
Wed Jan 06 22:35:16 2021	1609968916	112	731	843	178
Wed Jan 06 22:35:16 2021	1609968916	112	735	847	217
Wed Jan 06 22:35:07 2021	1609968907	117	732	848	147
Wed Jan 06 22:35:21 2021	1609968921	103	745	849	232
Wed Jan 06 22:35:15 2021	1609968915	100	751	851	183
Wed Jan 06 22:35:07 2021	1609968907	105	747	852	183
Wed Jan 06 22:35:22 2021	1609968922	104	755	860	168
Wed Jan 06 22:35:10 2021	1609968910	104	758	862	179
Wed Jan 06 22:35:15 2021	1609968915	106	756	862	254
Wed Jan 06 22:35:06 2021	1609968906	104	758	862	188
Wed Jan 06 22:35:21 2021	1609968921	117	746	863	158
Wed Jan 06 22:35:06 2021	1609968906	109	755	864	196
Wed Jan 06 22:35:06 2021	1609968906	114	753	867	194
Wed Jan 06 22:35:15 2021	1609968915	104	765	869	205
Wed Jan 06 22:35:07 2021	1609968907	98	771	869	209
Wed Jan 06 22:35:09 2021	1609968909	107	763	871	222
Wed Jan 06 22:35:17 2021	1609968917	104	768	872	204
