starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 06 22:38:54 2021	1609969134	104	699	803	162
Wed Jan 06 22:38:54 2021	1609969134	103	726	829	181
Wed Jan 06 22:38:53 2021	1609969133	103	732	836	174
Wed Jan 06 22:38:54 2021	1609969134	113	774	887	194
Wed Jan 06 22:38:54 2021	1609969134	101	787	888	177
Wed Jan 06 22:38:54 2021	1609969134	101	807	908	239
Wed Jan 06 22:38:54 2021	1609969134	110	816	926	215
Wed Jan 06 22:38:53 2021	1609969133	114	825	939	321
Wed Jan 06 22:38:51 2021	1609969131	170	819	989	223
Wed Jan 06 22:38:53 2021	1609969133	104	946	1051	416
Wed Jan 06 22:38:53 2021	1609969133	104	1035	1138	531
Wed Jan 06 22:38:53 2021	1609969133	107	1041	1148	388
Wed Jan 06 22:38:53 2021	1609969133	113	1036	1149	343
Wed Jan 06 22:38:53 2021	1609969133	104	1052	1156	490
Wed Jan 06 22:38:53 2021	1609969133	114	1058	1173	556
Wed Jan 06 22:38:53 2021	1609969133	112	1147	1260	646
Wed Jan 06 22:38:51 2021	1609969131	169	1231	1401	819
Wed Jan 06 22:38:52 2021	1609969132	108	1351	1459	846
Wed Jan 06 22:38:51 2021	1609969131	170	1302	1472	819
Wed Jan 06 22:38:51 2021	1609969131	170	1390	1560	883
Wed Jan 06 22:38:51 2021	1609969131	170	1435	1606	930
Wed Jan 06 22:38:51 2021	1609969131	170	1712	1883	1229
Wed Jan 06 22:38:51 2021	1609969131	171	1760	1931	1232
Wed Jan 06 22:38:51 2021	1609969131	171	1762	1933	1246
Wed Jan 06 22:38:51 2021	1609969131	170	1767	1937	1265
Wed Jan 06 22:38:51 2021	1609969131	170	1787	1958	1272
Wed Jan 06 22:38:51 2021	1609969131	170	1815	1985	1310
Wed Jan 06 22:38:51 2021	1609969131	170	1816	1986	1316
Wed Jan 06 22:38:51 2021	1609969131	170	1829	1999	1333
Wed Jan 06 22:38:51 2021	1609969131	171	1829	2000	1323
Wed Jan 06 22:38:51 2021	1609969131	171	1829	2000	1333
Wed Jan 06 22:38:51 2021	1609969131	170	1830	2000	1345
Wed Jan 06 22:38:51 2021	1609969131	171	1892	2063	1385
Wed Jan 06 22:38:51 2021	1609969131	170	1937	2107	1435
Wed Jan 06 22:38:51 2021	1609969131	170	2070	2240	1566
Wed Jan 06 22:38:51 2021	1609969131	170	2082	2253	1580
Wed Jan 06 22:38:51 2021	1609969131	170	2205	2375	1701
Wed Jan 06 22:38:51 2021	1609969131	170	2256	2426	1749
Wed Jan 06 22:38:51 2021	1609969131	170	2353	2523	1843
Wed Jan 06 22:38:51 2021	1609969131	170	2868	3038	2235
Wed Jan 06 22:38:51 2021	1609969131	170	3287	3457	2867
Wed Jan 06 22:38:51 2021	1609969131	170	3379	3550	2868
Wed Jan 06 22:38:51 2021	1609969131	171	3380	3550	2873
Wed Jan 06 22:38:51 2021	1609969131	170	3677	3847	3179
Wed Jan 06 22:38:51 2021	1609969131	171	3770	3940	3258
Wed Jan 06 22:38:51 2021	1609969131	170	3982	4152	3474
Wed Jan 06 22:38:51 2021	1609969131	171	4054	4224	3548
Wed Jan 06 22:38:51 2021	1609969131	171	4153	4324	3644
Wed Jan 06 22:38:51 2021	1609969131	171	4286	4457	3777
