starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 08 18:00:18 2021	1610125218	126	190	316	151
Fri Jan 08 18:00:16 2021	1610125216	137	180	316	179
Fri Jan 08 18:00:18 2021	1610125218	133	185	318	170
Fri Jan 08 18:00:18 2021	1610125218	135	184	320	152
Fri Jan 08 18:00:18 2021	1610125218	128	205	333	174
Fri Jan 08 18:00:16 2021	1610125216	141	202	342	171
Fri Jan 08 18:00:16 2021	1610125216	128	215	343	175
Fri Jan 08 18:00:15 2021	1610125215	125	219	345	169
Fri Jan 08 18:00:16 2021	1610125216	140	206	346	178
Fri Jan 08 18:00:20 2021	1610125220	128	220	348	180
Fri Jan 08 18:00:16 2021	1610125216	135	214	349	179
Fri Jan 08 18:00:23 2021	1610125223	136	215	351	159
Fri Jan 08 18:00:18 2021	1610125218	141	211	352	175
Fri Jan 08 18:00:24 2021	1610125224	146	208	354	166
Fri Jan 08 18:00:18 2021	1610125218	137	218	354	183
Fri Jan 08 18:00:16 2021	1610125216	133	221	355	194
Fri Jan 08 18:00:22 2021	1610125222	140	216	356	171
Fri Jan 08 18:00:17 2021	1610125217	140	217	357	160
Fri Jan 08 18:00:15 2021	1610125215	137	221	358	169
Fri Jan 08 18:00:22 2021	1610125222	125	234	359	181
Fri Jan 08 18:00:17 2021	1610125217	137	222	359	163
Fri Jan 08 18:00:24 2021	1610125224	135	224	359	173
Fri Jan 08 18:00:15 2021	1610125215	141	219	360	191
Fri Jan 08 18:00:16 2021	1610125216	143	217	360	175
Fri Jan 08 18:00:22 2021	1610125222	141	221	362	186
Fri Jan 08 18:00:22 2021	1610125222	143	219	362	182
Fri Jan 08 18:00:23 2021	1610125223	128	234	362	204
Fri Jan 08 18:00:18 2021	1610125218	143	220	363	160
Fri Jan 08 18:00:24 2021	1610125224	138	226	363	174
Fri Jan 08 18:00:18 2021	1610125218	133	231	365	178
Fri Jan 08 18:00:18 2021	1610125218	143	222	365	173
Fri Jan 08 18:00:16 2021	1610125216	143	224	367	212
Fri Jan 08 18:00:16 2021	1610125216	146	222	368	188
Fri Jan 08 18:00:18 2021	1610125218	140	228	368	171
Fri Jan 08 18:00:22 2021	1610125222	141	227	368	175
Fri Jan 08 18:00:16 2021	1610125216	154	215	369	189
Fri Jan 08 18:00:18 2021	1610125218	128	241	369	150
Fri Jan 08 18:00:22 2021	1610125222	155	215	369	191
Fri Jan 08 18:00:18 2021	1610125218	138	231	370	194
Fri Jan 08 18:00:24 2021	1610125224	135	235	370	194
Fri Jan 08 18:00:18 2021	1610125218	132	239	371	182
Fri Jan 08 18:00:24 2021	1610125224	150	221	371	221
Fri Jan 08 18:00:20 2021	1610125220	137	234	372	204
Fri Jan 08 18:00:20 2021	1610125220	135	237	372	178
Fri Jan 08 18:00:17 2021	1610125217	148	227	375	192
Fri Jan 08 18:00:20 2021	1610125220	133	243	376	193
Fri Jan 08 18:00:23 2021	1610125223	146	230	376	185
Fri Jan 08 18:00:19 2021	1610125219	125	251	376	188
Fri Jan 08 18:00:18 2021	1610125218	145	231	376	201
Fri Jan 08 18:00:22 2021	1610125222	144	234	377	180
Fri Jan 08 18:00:18 2021	1610125218	136	241	377	218
Fri Jan 08 18:00:22 2021	1610125222	125	252	377	177
Fri Jan 08 18:00:16 2021	1610125216	142	237	378	192
Fri Jan 08 18:00:23 2021	1610125223	139	240	379	203
Fri Jan 08 18:00:20 2021	1610125220	142	237	379	174
Fri Jan 08 18:00:21 2021	1610125221	142	238	379	195
Fri Jan 08 18:00:20 2021	1610125220	142	237	380	181
Fri Jan 08 18:00:18 2021	1610125218	131	249	380	190
Fri Jan 08 18:00:23 2021	1610125223	147	234	380	232
Fri Jan 08 18:00:22 2021	1610125222	148	233	381	198
Fri Jan 08 18:00:19 2021	1610125219	132	249	382	188
Fri Jan 08 18:00:18 2021	1610125218	141	240	382	226
Fri Jan 08 18:00:15 2021	1610125215	141	241	382	201
Fri Jan 08 18:00:18 2021	1610125218	132	251	383	200
Fri Jan 08 18:00:23 2021	1610125223	152	231	383	218
Fri Jan 08 18:00:20 2021	1610125220	143	241	384	190
Fri Jan 08 18:00:21 2021	1610125221	145	241	386	177
Fri Jan 08 18:00:22 2021	1610125222	128	259	386	198
Fri Jan 08 18:00:16 2021	1610125216	136	251	387	190
Fri Jan 08 18:00:19 2021	1610125219	156	231	387	191
Fri Jan 08 18:00:21 2021	1610125221	125	262	387	173
Fri Jan 08 18:00:20 2021	1610125220	143	245	388	194
Fri Jan 08 18:00:16 2021	1610125216	144	245	389	170
Fri Jan 08 18:00:22 2021	1610125222	148	241	389	184
Fri Jan 08 18:00:22 2021	1610125222	145	244	389	200
Fri Jan 08 18:00:24 2021	1610125224	146	245	391	202
Fri Jan 08 18:00:23 2021	1610125223	160	233	394	223
Fri Jan 08 18:00:19 2021	1610125219	140	254	394	192
Fri Jan 08 18:00:23 2021	1610125223	133	261	394	226
Fri Jan 08 18:00:23 2021	1610125223	164	232	396	190
Fri Jan 08 18:00:22 2021	1610125222	143	252	396	192
Fri Jan 08 18:00:24 2021	1610125224	158	238	396	190
Fri Jan 08 18:00:24 2021	1610125224	144	253	397	184
Fri Jan 08 18:00:19 2021	1610125219	142	256	399	170
Fri Jan 08 18:00:23 2021	1610125223	152	247	399	177
Fri Jan 08 18:00:18 2021	1610125218	152	247	399	195
Fri Jan 08 18:00:16 2021	1610125216	158	241	400	190
Fri Jan 08 18:00:23 2021	1610125223	131	269	400	176
Fri Jan 08 18:00:22 2021	1610125222	142	260	401	190
Fri Jan 08 18:00:15 2021	1610125215	145	257	401	230
Fri Jan 08 18:00:21 2021	1610125221	131	271	401	196
Fri Jan 08 18:00:23 2021	1610125223	128	275	402	191
Fri Jan 08 18:00:17 2021	1610125217	134	269	403	190
Fri Jan 08 18:00:18 2021	1610125218	149	254	403	212
Fri Jan 08 18:00:19 2021	1610125219	151	252	403	198
Fri Jan 08 18:00:24 2021	1610125224	141	262	403	213
Fri Jan 08 18:00:23 2021	1610125223	142	263	405	263
Fri Jan 08 18:00:24 2021	1610125224	144	261	405	200
Fri Jan 08 18:00:18 2021	1610125218	135	270	405	200
Fri Jan 08 18:00:24 2021	1610125224	129	276	405	215
Fri Jan 08 18:00:19 2021	1610125219	139	267	406	193
Fri Jan 08 18:00:23 2021	1610125223	149	257	406	176
Fri Jan 08 18:00:19 2021	1610125219	155	251	406	216
Fri Jan 08 18:00:18 2021	1610125218	139	268	407	167
Fri Jan 08 18:00:22 2021	1610125222	161	246	408	179
Fri Jan 08 18:00:24 2021	1610125224	133	275	408	246
Fri Jan 08 18:00:19 2021	1610125219	151	258	408	221
Fri Jan 08 18:00:17 2021	1610125217	137	272	409	185
Fri Jan 08 18:00:19 2021	1610125219	141	268	409	176
Fri Jan 08 18:00:20 2021	1610125220	128	281	409	188
Fri Jan 08 18:00:23 2021	1610125223	145	266	410	215
Fri Jan 08 18:00:16 2021	1610125216	144	267	410	163
Fri Jan 08 18:00:22 2021	1610125222	144	267	411	227
Fri Jan 08 18:00:24 2021	1610125224	142	270	412	238
Fri Jan 08 18:00:20 2021	1610125220	124	287	412	229
Fri Jan 08 18:00:16 2021	1610125216	134	279	413	215
Fri Jan 08 18:00:18 2021	1610125218	139	274	413	182
Fri Jan 08 18:00:23 2021	1610125223	137	277	414	217
Fri Jan 08 18:00:17 2021	1610125217	140	273	414	182
Fri Jan 08 18:00:17 2021	1610125217	160	254	414	204
Fri Jan 08 18:00:22 2021	1610125222	144	270	414	200
Fri Jan 08 18:00:20 2021	1610125220	150	265	414	189
Fri Jan 08 18:00:19 2021	1610125219	130	285	415	190
Fri Jan 08 18:00:23 2021	1610125223	137	278	415	230
Fri Jan 08 18:00:22 2021	1610125222	141	274	416	218
Fri Jan 08 18:00:18 2021	1610125218	145	271	416	230
Fri Jan 08 18:00:20 2021	1610125220	126	290	416	217
Fri Jan 08 18:00:19 2021	1610125219	135	282	416	268
Fri Jan 08 18:00:22 2021	1610125222	148	268	416	199
Fri Jan 08 18:00:15 2021	1610125215	145	272	416	214
Fri Jan 08 18:00:22 2021	1610125222	158	259	417	216
Fri Jan 08 18:00:23 2021	1610125223	137	280	417	216
Fri Jan 08 18:00:19 2021	1610125219	152	265	417	211
Fri Jan 08 18:00:18 2021	1610125218	150	267	417	182
Fri Jan 08 18:00:18 2021	1610125218	142	276	418	214
Fri Jan 08 18:00:20 2021	1610125220	141	277	418	209
Fri Jan 08 18:00:22 2021	1610125222	134	285	419	231
Fri Jan 08 18:00:17 2021	1610125217	152	267	420	196
Fri Jan 08 18:00:19 2021	1610125219	148	272	420	215
Fri Jan 08 18:00:18 2021	1610125218	151	269	420	189
Fri Jan 08 18:00:19 2021	1610125219	141	279	421	203
Fri Jan 08 18:00:24 2021	1610125224	149	272	421	171
Fri Jan 08 18:00:21 2021	1610125221	149	272	421	208
Fri Jan 08 18:00:18 2021	1610125218	140	282	422	260
Fri Jan 08 18:00:20 2021	1610125220	152	270	422	231
Fri Jan 08 18:00:23 2021	1610125223	143	280	423	216
Fri Jan 08 18:00:15 2021	1610125215	155	269	423	227
Fri Jan 08 18:00:20 2021	1610125220	134	290	424	212
Fri Jan 08 18:00:22 2021	1610125222	137	287	424	210
Fri Jan 08 18:00:23 2021	1610125223	133	291	424	237
Fri Jan 08 18:00:20 2021	1610125220	135	290	424	204
Fri Jan 08 18:00:23 2021	1610125223	152	273	424	221
Fri Jan 08 18:00:24 2021	1610125224	135	289	424	215
Fri Jan 08 18:00:17 2021	1610125217	148	277	425	227
Fri Jan 08 18:00:23 2021	1610125223	152	274	426	227
Fri Jan 08 18:00:24 2021	1610125224	131	295	426	233
Fri Jan 08 18:00:19 2021	1610125219	125	301	426	241
Fri Jan 08 18:00:23 2021	1610125223	146	281	426	221
Fri Jan 08 18:00:17 2021	1610125217	147	279	426	230
Fri Jan 08 18:00:20 2021	1610125220	137	289	426	243
Fri Jan 08 18:00:21 2021	1610125221	151	276	427	192
Fri Jan 08 18:00:19 2021	1610125219	131	296	427	193
Fri Jan 08 18:00:23 2021	1610125223	147	281	427	209
Fri Jan 08 18:00:23 2021	1610125223	150	278	428	221
Fri Jan 08 18:00:24 2021	1610125224	150	278	428	182
Fri Jan 08 18:00:24 2021	1610125224	135	293	428	222
Fri Jan 08 18:00:17 2021	1610125217	143	286	429	225
Fri Jan 08 18:00:17 2021	1610125217	142	287	429	246
Fri Jan 08 18:00:24 2021	1610125224	149	281	429	189
Fri Jan 08 18:00:23 2021	1610125223	157	272	430	270
Fri Jan 08 18:00:20 2021	1610125220	125	304	430	196
Fri Jan 08 18:00:18 2021	1610125218	131	299	430	231
Fri Jan 08 18:00:20 2021	1610125220	150	280	430	249
Fri Jan 08 18:00:20 2021	1610125220	148	282	430	221
Fri Jan 08 18:00:17 2021	1610125217	148	282	430	210
Fri Jan 08 18:00:18 2021	1610125218	144	287	430	187
Fri Jan 08 18:00:24 2021	1610125224	153	277	430	199
Fri Jan 08 18:00:20 2021	1610125220	140	290	431	210
Fri Jan 08 18:00:17 2021	1610125217	138	292	431	194
Fri Jan 08 18:00:20 2021	1610125220	152	279	431	212
Fri Jan 08 18:00:16 2021	1610125216	153	278	431	177
Fri Jan 08 18:00:20 2021	1610125220	126	305	431	224
Fri Jan 08 18:00:18 2021	1610125218	125	307	431	159
Fri Jan 08 18:00:23 2021	1610125223	150	282	432	279
Fri Jan 08 18:00:19 2021	1610125219	156	276	432	191
Fri Jan 08 18:00:23 2021	1610125223	145	288	433	250
Fri Jan 08 18:00:23 2021	1610125223	146	287	433	211
Fri Jan 08 18:00:19 2021	1610125219	140	294	434	180
Fri Jan 08 18:00:20 2021	1610125220	130	304	434	224
Fri Jan 08 18:00:20 2021	1610125220	136	298	434	237
Fri Jan 08 18:00:23 2021	1610125223	143	292	435	246
Fri Jan 08 18:00:20 2021	1610125220	138	297	435	237
Fri Jan 08 18:00:24 2021	1610125224	158	278	436	190
Fri Jan 08 18:00:19 2021	1610125219	136	300	436	211
Fri Jan 08 18:00:17 2021	1610125217	144	292	436	231
Fri Jan 08 18:00:18 2021	1610125218	149	287	436	166
Fri Jan 08 18:00:23 2021	1610125223	134	303	437	195
Fri Jan 08 18:00:15 2021	1610125215	150	287	437	237
Fri Jan 08 18:00:19 2021	1610125219	136	302	437	188
Fri Jan 08 18:00:20 2021	1610125220	142	296	438	237
Fri Jan 08 18:00:19 2021	1610125219	160	278	438	221
Fri Jan 08 18:00:19 2021	1610125219	149	290	438	264
Fri Jan 08 18:00:23 2021	1610125223	152	286	438	285
Fri Jan 08 18:00:20 2021	1610125220	158	281	439	230
Fri Jan 08 18:00:19 2021	1610125219	131	308	439	262
Fri Jan 08 18:00:23 2021	1610125223	144	295	440	215
Fri Jan 08 18:00:23 2021	1610125223	138	302	440	208
Fri Jan 08 18:00:23 2021	1610125223	142	298	440	202
Fri Jan 08 18:00:19 2021	1610125219	140	301	441	251
Fri Jan 08 18:00:23 2021	1610125223	147	293	441	209
Fri Jan 08 18:00:20 2021	1610125220	148	293	442	181
Fri Jan 08 18:00:22 2021	1610125222	155	287	442	248
Fri Jan 08 18:00:19 2021	1610125219	140	302	442	179
Fri Jan 08 18:00:19 2021	1610125219	134	308	442	203
Fri Jan 08 18:00:23 2021	1610125223	146	297	443	233
Fri Jan 08 18:00:23 2021	1610125223	147	296	443	221
Fri Jan 08 18:00:19 2021	1610125219	134	309	443	243
Fri Jan 08 18:00:22 2021	1610125222	158	285	443	185
Fri Jan 08 18:00:23 2021	1610125223	153	291	444	217
Fri Jan 08 18:00:20 2021	1610125220	134	310	444	228
Fri Jan 08 18:00:23 2021	1610125223	159	286	445	237
Fri Jan 08 18:00:19 2021	1610125219	146	299	445	178
Fri Jan 08 18:00:19 2021	1610125219	158	288	446	196
Fri Jan 08 18:00:24 2021	1610125224	138	308	446	196
Fri Jan 08 18:00:19 2021	1610125219	146	300	446	231
Fri Jan 08 18:00:17 2021	1610125217	138	309	446	259
Fri Jan 08 18:00:24 2021	1610125224	138	309	447	195
Fri Jan 08 18:00:22 2021	1610125222	138	309	447	236
Fri Jan 08 18:00:20 2021	1610125220	150	297	447	249
Fri Jan 08 18:00:20 2021	1610125220	152	296	447	220
Fri Jan 08 18:00:20 2021	1610125220	159	289	447	222
Fri Jan 08 18:00:20 2021	1610125220	140	308	448	245
Fri Jan 08 18:00:19 2021	1610125219	141	308	449	278
Fri Jan 08 18:00:24 2021	1610125224	155	294	449	185
Fri Jan 08 18:00:20 2021	1610125220	132	318	449	215
Fri Jan 08 18:00:20 2021	1610125220	134	315	450	208
Fri Jan 08 18:00:20 2021	1610125220	150	300	450	234
Fri Jan 08 18:00:19 2021	1610125219	151	298	450	211
Fri Jan 08 18:00:15 2021	1610125215	136	315	451	220
Fri Jan 08 18:00:17 2021	1610125217	148	303	451	222
Fri Jan 08 18:00:19 2021	1610125219	153	299	452	205
Fri Jan 08 18:00:16 2021	1610125216	135	317	452	237
Fri Jan 08 18:00:15 2021	1610125215	144	308	452	221
Fri Jan 08 18:00:23 2021	1610125223	151	302	452	246
Fri Jan 08 18:00:21 2021	1610125221	138	314	453	184
Fri Jan 08 18:00:20 2021	1610125220	143	310	453	245
Fri Jan 08 18:00:22 2021	1610125222	133	320	453	230
Fri Jan 08 18:00:24 2021	1610125224	155	298	453	187
Fri Jan 08 18:00:19 2021	1610125219	155	298	453	192
Fri Jan 08 18:00:24 2021	1610125224	131	323	454	249
Fri Jan 08 18:00:21 2021	1610125221	137	317	454	186
Fri Jan 08 18:00:16 2021	1610125216	145	310	454	244
Fri Jan 08 18:00:19 2021	1610125219	142	313	455	217
Fri Jan 08 18:00:23 2021	1610125223	144	312	456	220
Fri Jan 08 18:00:21 2021	1610125221	139	317	456	165
Fri Jan 08 18:00:22 2021	1610125222	136	320	456	234
Fri Jan 08 18:00:20 2021	1610125220	161	296	457	221
Fri Jan 08 18:00:23 2021	1610125223	150	308	458	235
Fri Jan 08 18:00:23 2021	1610125223	148	310	458	210
Fri Jan 08 18:00:23 2021	1610125223	125	333	458	260
Fri Jan 08 18:00:22 2021	1610125222	138	321	458	225
Fri Jan 08 18:00:22 2021	1610125222	135	324	459	215
Fri Jan 08 18:00:21 2021	1610125221	132	327	459	293
Fri Jan 08 18:00:18 2021	1610125218	148	311	459	180
Fri Jan 08 18:00:16 2021	1610125216	141	319	459	257
Fri Jan 08 18:00:17 2021	1610125217	157	302	459	201
Fri Jan 08 18:00:21 2021	1610125221	141	319	461	227
Fri Jan 08 18:00:19 2021	1610125219	143	318	461	192
Fri Jan 08 18:00:23 2021	1610125223	144	317	461	243
Fri Jan 08 18:00:23 2021	1610125223	170	291	461	196
Fri Jan 08 18:00:21 2021	1610125221	148	314	461	220
Fri Jan 08 18:00:23 2021	1610125223	145	317	462	243
Fri Jan 08 18:00:22 2021	1610125222	140	322	462	166
Fri Jan 08 18:00:19 2021	1610125219	134	328	462	230
Fri Jan 08 18:00:23 2021	1610125223	151	312	462	212
Fri Jan 08 18:00:21 2021	1610125221	125	337	462	256
Fri Jan 08 18:00:16 2021	1610125216	148	314	463	251
Fri Jan 08 18:00:16 2021	1610125216	148	315	463	248
Fri Jan 08 18:00:15 2021	1610125215	137	326	463	231
Fri Jan 08 18:00:19 2021	1610125219	145	318	463	196
Fri Jan 08 18:00:20 2021	1610125220	136	327	464	257
Fri Jan 08 18:00:23 2021	1610125223	151	313	464	252
Fri Jan 08 18:00:21 2021	1610125221	136	328	464	226
Fri Jan 08 18:00:23 2021	1610125223	157	307	464	246
Fri Jan 08 18:00:23 2021	1610125223	143	321	464	248
Fri Jan 08 18:00:18 2021	1610125218	132	332	464	160
Fri Jan 08 18:00:19 2021	1610125219	139	326	464	236
Fri Jan 08 18:00:19 2021	1610125219	143	321	465	261
Fri Jan 08 18:00:24 2021	1610125224	150	315	465	186
Fri Jan 08 18:00:18 2021	1610125218	150	315	465	195
Fri Jan 08 18:00:17 2021	1610125217	136	330	466	203
Fri Jan 08 18:00:23 2021	1610125223	156	310	466	205
Fri Jan 08 18:00:24 2021	1610125224	136	330	466	253
Fri Jan 08 18:00:20 2021	1610125220	133	334	466	214
Fri Jan 08 18:00:21 2021	1610125221	137	330	466	209
Fri Jan 08 18:00:22 2021	1610125222	129	337	466	216
Fri Jan 08 18:00:20 2021	1610125220	164	303	467	215
Fri Jan 08 18:00:24 2021	1610125224	148	319	467	249
Fri Jan 08 18:00:18 2021	1610125218	148	320	468	197
Fri Jan 08 18:00:17 2021	1610125217	158	310	468	200
Fri Jan 08 18:00:20 2021	1610125220	150	319	469	204
Fri Jan 08 18:00:22 2021	1610125222	141	328	469	247
Fri Jan 08 18:00:20 2021	1610125220	138	332	469	192
Fri Jan 08 18:00:20 2021	1610125220	132	338	470	255
Fri Jan 08 18:00:16 2021	1610125216	137	333	470	245
Fri Jan 08 18:00:19 2021	1610125219	135	335	470	280
Fri Jan 08 18:00:19 2021	1610125219	142	329	471	278
Fri Jan 08 18:00:24 2021	1610125224	156	315	471	253
Fri Jan 08 18:00:19 2021	1610125219	142	329	471	191
Fri Jan 08 18:00:19 2021	1610125219	140	331	471	251
Fri Jan 08 18:00:23 2021	1610125223	148	323	471	254
Fri Jan 08 18:00:21 2021	1610125221	140	332	472	246
Fri Jan 08 18:00:24 2021	1610125224	147	325	472	261
Fri Jan 08 18:00:16 2021	1610125216	143	330	473	241
Fri Jan 08 18:00:23 2021	1610125223	150	323	474	229
Fri Jan 08 18:00:22 2021	1610125222	135	338	474	258
Fri Jan 08 18:00:21 2021	1610125221	131	343	474	225
Fri Jan 08 18:00:24 2021	1610125224	145	331	475	197
Fri Jan 08 18:00:24 2021	1610125224	152	324	476	203
Fri Jan 08 18:00:23 2021	1610125223	156	321	477	208
Fri Jan 08 18:00:22 2021	1610125222	150	327	478	270
Fri Jan 08 18:00:19 2021	1610125219	154	324	478	229
Fri Jan 08 18:00:21 2021	1610125221	140	338	478	197
Fri Jan 08 18:00:24 2021	1610125224	138	341	478	248
Fri Jan 08 18:00:24 2021	1610125224	143	335	478	207
Fri Jan 08 18:00:24 2021	1610125224	147	332	478	220
Fri Jan 08 18:00:21 2021	1610125221	135	343	478	214
Fri Jan 08 18:00:17 2021	1610125217	149	330	478	246
Fri Jan 08 18:00:18 2021	1610125218	133	347	480	296
Fri Jan 08 18:00:20 2021	1610125220	140	340	480	225
Fri Jan 08 18:00:22 2021	1610125222	144	336	480	204
Fri Jan 08 18:00:18 2021	1610125218	138	343	481	188
Fri Jan 08 18:00:18 2021	1610125218	159	322	481	231
Fri Jan 08 18:00:22 2021	1610125222	135	347	481	247
Fri Jan 08 18:00:23 2021	1610125223	133	348	482	241
Fri Jan 08 18:00:19 2021	1610125219	142	340	482	216
Fri Jan 08 18:00:24 2021	1610125224	147	335	482	211
Fri Jan 08 18:00:19 2021	1610125219	147	336	482	239
Fri Jan 08 18:00:22 2021	1610125222	140	342	483	200
Fri Jan 08 18:00:19 2021	1610125219	157	326	483	191
Fri Jan 08 18:00:21 2021	1610125221	126	357	483	169
Fri Jan 08 18:00:24 2021	1610125224	151	333	483	194
Fri Jan 08 18:00:21 2021	1610125221	152	331	483	186
Fri Jan 08 18:00:21 2021	1610125221	148	335	484	235
Fri Jan 08 18:00:22 2021	1610125222	143	341	484	182
Fri Jan 08 18:00:20 2021	1610125220	135	349	484	256
Fri Jan 08 18:00:19 2021	1610125219	141	345	486	262
Fri Jan 08 18:00:23 2021	1610125223	133	353	486	265
Fri Jan 08 18:00:19 2021	1610125219	133	354	487	257
Fri Jan 08 18:00:19 2021	1610125219	142	344	487	218
Fri Jan 08 18:00:24 2021	1610125224	140	347	487	238
Fri Jan 08 18:00:23 2021	1610125223	166	321	487	229
Fri Jan 08 18:00:23 2021	1610125223	155	332	487	236
Fri Jan 08 18:00:24 2021	1610125224	141	346	487	198
Fri Jan 08 18:00:18 2021	1610125218	144	344	488	212
Fri Jan 08 18:00:20 2021	1610125220	140	348	488	275
Fri Jan 08 18:00:21 2021	1610125221	147	342	489	206
Fri Jan 08 18:00:16 2021	1610125216	161	327	489	263
Fri Jan 08 18:00:22 2021	1610125222	161	328	489	248
Fri Jan 08 18:00:19 2021	1610125219	130	358	489	289
Fri Jan 08 18:00:19 2021	1610125219	164	326	489	205
Fri Jan 08 18:00:19 2021	1610125219	143	346	489	261
Fri Jan 08 18:00:18 2021	1610125218	142	348	489	199
Fri Jan 08 18:00:19 2021	1610125219	136	354	489	223
Fri Jan 08 18:00:19 2021	1610125219	167	322	490	235
Fri Jan 08 18:00:19 2021	1610125219	155	336	491	252
Fri Jan 08 18:00:16 2021	1610125216	134	358	491	236
Fri Jan 08 18:00:20 2021	1610125220	152	339	492	196
Fri Jan 08 18:00:18 2021	1610125218	133	359	492	194
Fri Jan 08 18:00:20 2021	1610125220	147	345	493	201
Fri Jan 08 18:00:21 2021	1610125221	142	351	493	258
Fri Jan 08 18:00:20 2021	1610125220	142	351	493	273
Fri Jan 08 18:00:23 2021	1610125223	140	353	493	263
Fri Jan 08 18:00:15 2021	1610125215	140	353	493	255
Fri Jan 08 18:00:20 2021	1610125220	141	352	493	196
Fri Jan 08 18:00:24 2021	1610125224	150	343	494	199
Fri Jan 08 18:00:20 2021	1610125220	135	359	494	196
Fri Jan 08 18:00:16 2021	1610125216	134	360	494	256
Fri Jan 08 18:00:20 2021	1610125220	135	360	495	243
Fri Jan 08 18:00:17 2021	1610125217	135	360	495	200
Fri Jan 08 18:00:18 2021	1610125218	146	351	496	350
Fri Jan 08 18:00:22 2021	1610125222	149	348	497	263
Fri Jan 08 18:00:23 2021	1610125223	143	354	497	251
Fri Jan 08 18:00:15 2021	1610125215	132	365	497	247
Fri Jan 08 18:00:22 2021	1610125222	134	363	497	282
Fri Jan 08 18:00:16 2021	1610125216	143	355	498	355
Fri Jan 08 18:00:20 2021	1610125220	142	356	498	267
Fri Jan 08 18:00:15 2021	1610125215	148	350	498	243
Fri Jan 08 18:00:24 2021	1610125224	153	345	498	252
Fri Jan 08 18:00:16 2021	1610125216	124	374	498	357
Fri Jan 08 18:00:23 2021	1610125223	142	357	499	257
Fri Jan 08 18:00:20 2021	1610125220	151	349	500	274
Fri Jan 08 18:00:20 2021	1610125220	125	375	500	297
Fri Jan 08 18:00:22 2021	1610125222	141	360	500	292
Fri Jan 08 18:00:16 2021	1610125216	126	374	501	218
Fri Jan 08 18:00:21 2021	1610125221	147	355	501	251
Fri Jan 08 18:00:20 2021	1610125220	148	353	502	189
Fri Jan 08 18:00:19 2021	1610125219	143	359	502	277
Fri Jan 08 18:00:21 2021	1610125221	147	355	502	233
Fri Jan 08 18:00:19 2021	1610125219	164	338	503	220
Fri Jan 08 18:00:20 2021	1610125220	141	362	503	239
Fri Jan 08 18:00:20 2021	1610125220	126	378	504	277
Fri Jan 08 18:00:21 2021	1610125221	137	368	505	270
Fri Jan 08 18:00:19 2021	1610125219	136	369	505	223
Fri Jan 08 18:00:20 2021	1610125220	127	379	505	212
Fri Jan 08 18:00:16 2021	1610125216	128	378	506	264
Fri Jan 08 18:00:16 2021	1610125216	145	361	506	225
Fri Jan 08 18:00:21 2021	1610125221	135	372	506	222
