starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 08 17:11:17 2021	1610122277	147	517	663	500
Fri Jan 08 17:11:17 2021	1610122277	147	1176	1322	1091
Fri Jan 08 17:11:50 2021	1610122310	151	1320	1471	1318
Fri Jan 08 17:11:50 2021	1610122310	153	1329	1482	1313
Fri Jan 08 17:11:50 2021	1610122310	140	1353	1494	1352
Fri Jan 08 17:11:50 2021	1610122310	162	1353	1516	1341
Fri Jan 08 17:11:50 2021	1610122310	137	1388	1525	1387
Fri Jan 08 17:11:50 2021	1610122310	157	1371	1528	1368
Fri Jan 08 17:11:20 2021	1610122280	136	1412	1548	1400
Fri Jan 08 17:11:50 2021	1610122310	143	1446	1589	1432
Fri Jan 08 17:11:20 2021	1610122280	143	1451	1594	1437
Fri Jan 08 17:11:20 2021	1610122280	155	1441	1596	1423
Fri Jan 08 17:11:50 2021	1610122310	134	1467	1601	1447
Fri Jan 08 17:11:20 2021	1610122280	146	1497	1643	1476
Fri Jan 08 17:11:20 2021	1610122280	162	1486	1647	1461
Fri Jan 08 17:11:20 2021	1610122280	143	1530	1673	1518
Fri Jan 08 17:11:50 2021	1610122310	168	1507	1676	1503
Fri Jan 08 17:11:38 2021	1610122298	158	1541	1700	1529
Fri Jan 08 17:11:41 2021	1610122301	135	1571	1706	1543
Fri Jan 08 17:11:19 2021	1610122279	151	1557	1709	1539
Fri Jan 08 17:11:39 2021	1610122299	139	1571	1710	1554
Fri Jan 08 17:11:50 2021	1610122310	140	1577	1717	1559
Fri Jan 08 17:11:19 2021	1610122279	148	1578	1726	1563
Fri Jan 08 17:11:38 2021	1610122298	147	1582	1730	1561
Fri Jan 08 17:11:19 2021	1610122279	138	1592	1730	1572
Fri Jan 08 17:11:19 2021	1610122279	147	1598	1745	1570
Fri Jan 08 17:11:39 2021	1610122299	158	1590	1749	1562
Fri Jan 08 17:11:41 2021	1610122301	144	1629	1774	1611
Fri Jan 08 17:11:45 2021	1610122305	135	1649	1785	1630
Fri Jan 08 17:11:45 2021	1610122305	145	1642	1787	1629
Fri Jan 08 17:11:20 2021	1610122280	143	1653	1795	1614
Fri Jan 08 17:11:45 2021	1610122305	134	1664	1798	1655
Fri Jan 08 17:11:40 2021	1610122300	139	1662	1801	1661
Fri Jan 08 17:11:50 2021	1610122310	146	1661	1807	1642
Fri Jan 08 17:11:44 2021	1610122304	141	1666	1808	1643
Fri Jan 08 17:11:44 2021	1610122304	137	1679	1816	1667
Fri Jan 08 17:11:40 2021	1610122300	142	1683	1825	1660
Fri Jan 08 17:11:50 2021	1610122310	141	1697	1838	1677
Fri Jan 08 17:11:20 2021	1610122280	138	1702	1840	1689
Fri Jan 08 17:11:40 2021	1610122300	149	1698	1847	1678
Fri Jan 08 17:11:25 2021	1610122285	155	1694	1849	1693
Fri Jan 08 17:11:19 2021	1610122279	149	1704	1853	1676
Fri Jan 08 17:11:23 2021	1610122283	149	1707	1855	1693
Fri Jan 08 17:11:23 2021	1610122283	148	1709	1857	1688
Fri Jan 08 17:11:50 2021	1610122310	146	1713	1859	1711
Fri Jan 08 17:11:47 2021	1610122307	144	1726	1870	1708
Fri Jan 08 17:11:48 2021	1610122308	150	1724	1875	1708
Fri Jan 08 17:11:45 2021	1610122305	144	1735	1879	1710
Fri Jan 08 17:11:19 2021	1610122279	141	1744	1885	1729
Fri Jan 08 17:11:19 2021	1610122279	150	1747	1898	1745
Fri Jan 08 17:11:38 2021	1610122298	146	1756	1903	1755
Fri Jan 08 17:11:43 2021	1610122303	132	1779	1911	1755
Fri Jan 08 17:11:20 2021	1610122280	140	1774	1914	1746
Fri Jan 08 17:11:38 2021	1610122298	146	1771	1917	1767
Fri Jan 08 17:11:32 2021	1610122292	136	1784	1920	1769
Fri Jan 08 17:11:40 2021	1610122300	145	1778	1922	1761
Fri Jan 08 17:11:22 2021	1610122282	149	1774	1923	1755
Fri Jan 08 17:11:36 2021	1610122296	142	1788	1930	1786
Fri Jan 08 17:11:29 2021	1610122289	146	1786	1933	1784
