starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 08 16:28:44 2021	1610119724	143	572	716	563
Fri Jan 08 16:28:53 2021	1610119733	148	568	716	567
Fri Jan 08 16:28:32 2021	1610119712	146	571	718	213
Fri Jan 08 16:28:57 2021	1610119737	149	569	718	399
Fri Jan 08 16:28:55 2021	1610119735	155	564	719	564
Fri Jan 08 16:28:30 2021	1610119710	140	579	719	482
Fri Jan 08 16:28:37 2021	1610119717	143	576	719	576
Fri Jan 08 16:28:30 2021	1610119710	130	590	720	394
Fri Jan 08 16:28:35 2021	1610119715	132	588	720	587
Fri Jan 08 16:28:36 2021	1610119716	159	562	721	426
Fri Jan 08 16:28:45 2021	1610119725	146	577	722	474
Fri Jan 08 16:28:34 2021	1610119714	156	566	723	543
Fri Jan 08 16:28:40 2021	1610119720	144	579	724	578
Fri Jan 08 16:28:58 2021	1610119738	156	568	724	567
Fri Jan 08 16:28:32 2021	1610119712	143	582	725	262
Fri Jan 08 16:28:41 2021	1610119721	146	579	725	577
Fri Jan 08 16:28:40 2021	1610119720	134	592	726	592
Fri Jan 08 16:28:41 2021	1610119721	128	600	727	599
Fri Jan 08 16:28:50 2021	1610119730	141	586	727	586
Fri Jan 08 16:28:30 2021	1610119710	142	587	728	444
Fri Jan 08 16:28:39 2021	1610119719	139	590	728	231
Fri Jan 08 16:28:55 2021	1610119735	140	589	729	588
Fri Jan 08 16:28:53 2021	1610119733	151	578	729	578
Fri Jan 08 16:28:47 2021	1610119727	138	591	729	591
Fri Jan 08 16:28:31 2021	1610119711	157	573	729	571
Fri Jan 08 16:28:45 2021	1610119725	145	585	729	453
Fri Jan 08 16:28:42 2021	1610119722	139	591	729	469
Fri Jan 08 16:28:56 2021	1610119736	151	579	731	578
Fri Jan 08 16:28:51 2021	1610119731	151	580	731	206
Fri Jan 08 16:28:51 2021	1610119731	144	587	731	225
Fri Jan 08 16:28:57 2021	1610119737	154	578	732	439
Fri Jan 08 16:28:42 2021	1610119722	149	583	732	433
Fri Jan 08 16:28:28 2021	1610119708	141	592	734	362
Fri Jan 08 16:28:53 2021	1610119733	144	590	734	590
Fri Jan 08 16:28:41 2021	1610119721	150	586	735	586
Fri Jan 08 16:28:42 2021	1610119722	151	584	736	407
Fri Jan 08 16:28:39 2021	1610119719	143	593	736	191
Fri Jan 08 16:28:35 2021	1610119715	141	595	736	594
Fri Jan 08 16:28:56 2021	1610119736	138	598	736	597
Fri Jan 08 16:28:35 2021	1610119715	141	595	736	594
Fri Jan 08 16:28:30 2021	1610119710	151	585	737	378
Fri Jan 08 16:28:49 2021	1610119729	150	588	737	574
Fri Jan 08 16:28:35 2021	1610119715	146	592	738	590
Fri Jan 08 16:28:49 2021	1610119729	134	604	738	597
Fri Jan 08 16:28:40 2021	1610119720	146	592	738	585
Fri Jan 08 16:28:56 2021	1610119736	135	604	739	604
Fri Jan 08 16:28:31 2021	1610119711	144	595	739	595
Fri Jan 08 16:28:30 2021	1610119710	144	596	739	433
Fri Jan 08 16:28:56 2021	1610119736	142	598	740	598
Fri Jan 08 16:28:42 2021	1610119722	140	600	740	429
Fri Jan 08 16:28:30 2021	1610119710	145	595	740	509
Fri Jan 08 16:28:30 2021	1610119710	141	599	740	408
Fri Jan 08 16:28:51 2021	1610119731	143	597	740	268
Fri Jan 08 16:28:30 2021	1610119710	148	593	741	392
Fri Jan 08 16:28:51 2021	1610119731	137	605	742	499
Fri Jan 08 16:28:33 2021	1610119713	161	581	742	478
Fri Jan 08 16:28:58 2021	1610119738	153	591	744	583
Fri Jan 08 16:28:53 2021	1610119733	128	617	745	617
Fri Jan 08 16:28:42 2021	1610119722	149	597	745	473
Fri Jan 08 16:28:39 2021	1610119719	153	594	746	230
Fri Jan 08 16:28:45 2021	1610119725	141	606	747	494
Fri Jan 08 16:28:36 2021	1610119716	151	596	747	251
Fri Jan 08 16:28:53 2021	1610119733	142	605	747	605
Fri Jan 08 16:28:34 2021	1610119714	155	592	748	592
Fri Jan 08 16:28:45 2021	1610119725	156	592	748	476
Fri Jan 08 16:28:56 2021	1610119736	165	583	748	570
Fri Jan 08 16:28:45 2021	1610119725	140	608	748	487
Fri Jan 08 16:28:48 2021	1610119728	152	596	748	460
Fri Jan 08 16:28:42 2021	1610119722	141	608	748	446
Fri Jan 08 16:28:45 2021	1610119725	142	607	748	471
Fri Jan 08 16:28:57 2021	1610119737	136	613	750	411
Fri Jan 08 16:28:48 2021	1610119728	149	601	750	448
Fri Jan 08 16:28:40 2021	1610119720	165	584	750	584
Fri Jan 08 16:28:42 2021	1610119722	135	615	750	425
Fri Jan 08 16:28:53 2021	1610119733	147	604	750	603
Fri Jan 08 16:28:33 2021	1610119713	153	598	751	489
Fri Jan 08 16:28:57 2021	1610119737	142	609	751	606
Fri Jan 08 16:28:28 2021	1610119708	141	610	752	610
Fri Jan 08 16:28:42 2021	1610119722	139	613	752	464
