starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 08 17:07:46 2021	1610122066	133	253	385	208
Fri Jan 08 17:07:37 2021	1610122057	131	259	390	211
Fri Jan 08 17:07:44 2021	1610122064	142	252	394	206
Fri Jan 08 17:07:40 2021	1610122060	145	249	394	178
Fri Jan 08 17:07:46 2021	1610122066	135	261	396	198
Fri Jan 08 17:07:47 2021	1610122067	132	268	399	199
Fri Jan 08 17:07:46 2021	1610122066	138	261	400	207
Fri Jan 08 17:07:47 2021	1610122067	140	268	409	191
Fri Jan 08 17:07:40 2021	1610122060	143	269	412	211
Fri Jan 08 17:07:34 2021	1610122054	133	280	412	187
Fri Jan 08 17:07:46 2021	1610122066	143	272	414	208
Fri Jan 08 17:07:47 2021	1610122067	145	273	418	190
Fri Jan 08 17:07:45 2021	1610122065	140	278	418	208
Fri Jan 08 17:07:40 2021	1610122060	151	267	419	189
Fri Jan 08 17:07:40 2021	1610122060	161	259	420	180
Fri Jan 08 17:07:40 2021	1610122060	137	286	423	182
Fri Jan 08 17:07:40 2021	1610122060	130	295	425	210
Fri Jan 08 17:07:47 2021	1610122067	148	277	425	189
Fri Jan 08 17:07:34 2021	1610122054	132	294	425	198
Fri Jan 08 17:07:40 2021	1610122060	147	279	426	196
Fri Jan 08 17:07:36 2021	1610122056	141	286	427	213
Fri Jan 08 17:07:40 2021	1610122060	138	290	428	203
Fri Jan 08 17:07:39 2021	1610122059	149	282	431	212
Fri Jan 08 17:07:36 2021	1610122056	143	289	432	200
Fri Jan 08 17:07:36 2021	1610122056	126	307	432	256
Fri Jan 08 17:07:37 2021	1610122057	132	305	437	204
Fri Jan 08 17:07:46 2021	1610122066	146	291	437	203
Fri Jan 08 17:07:47 2021	1610122067	129	309	438	214
Fri Jan 08 17:07:37 2021	1610122057	140	299	439	208
Fri Jan 08 17:07:46 2021	1610122066	148	292	440	219
Fri Jan 08 17:07:38 2021	1610122058	149	291	440	229
Fri Jan 08 17:07:46 2021	1610122066	143	298	441	200
Fri Jan 08 17:07:37 2021	1610122057	134	308	442	237
Fri Jan 08 17:07:39 2021	1610122059	160	282	442	237
Fri Jan 08 17:07:45 2021	1610122065	137	305	442	169
Fri Jan 08 17:07:46 2021	1610122066	156	286	442	218
Fri Jan 08 17:07:40 2021	1610122060	143	300	443	205
Fri Jan 08 17:07:33 2021	1610122053	136	307	443	199
Fri Jan 08 17:07:38 2021	1610122058	149	296	444	220
Fri Jan 08 17:07:46 2021	1610122066	141	304	445	189
Fri Jan 08 17:07:34 2021	1610122054	133	312	445	250
Fri Jan 08 17:07:38 2021	1610122058	138	308	446	249
Fri Jan 08 17:07:40 2021	1610122060	139	308	446	213
Fri Jan 08 17:07:33 2021	1610122053	144	303	447	213
Fri Jan 08 17:07:37 2021	1610122057	154	293	448	202
Fri Jan 08 17:07:33 2021	1610122053	141	308	448	211
Fri Jan 08 17:07:47 2021	1610122067	142	307	448	222
Fri Jan 08 17:07:40 2021	1610122060	143	306	449	218
Fri Jan 08 17:07:37 2021	1610122057	137	312	449	218
Fri Jan 08 17:07:40 2021	1610122060	150	299	450	218
Fri Jan 08 17:07:44 2021	1610122064	143	308	451	229
Fri Jan 08 17:07:36 2021	1610122056	148	305	453	211
Fri Jan 08 17:07:36 2021	1610122056	136	320	456	213
Fri Jan 08 17:07:46 2021	1610122066	127	330	457	238
Fri Jan 08 17:07:40 2021	1610122060	151	306	457	187
Fri Jan 08 17:07:36 2021	1610122056	152	305	458	218
Fri Jan 08 17:07:40 2021	1610122060	147	311	458	238
Fri Jan 08 17:07:40 2021	1610122060	145	314	459	210
Fri Jan 08 17:07:36 2021	1610122056	142	317	459	214
Fri Jan 08 17:07:37 2021	1610122057	127	334	461	209
Fri Jan 08 17:07:40 2021	1610122060	144	317	462	211
Fri Jan 08 17:07:39 2021	1610122059	125	337	462	223
Fri Jan 08 17:07:46 2021	1610122066	136	327	463	245
Fri Jan 08 17:07:43 2021	1610122063	132	332	463	242
Fri Jan 08 17:07:40 2021	1610122060	158	306	464	218
Fri Jan 08 17:07:40 2021	1610122060	139	325	464	210
Fri Jan 08 17:07:47 2021	1610122067	126	339	465	230
Fri Jan 08 17:07:45 2021	1610122065	146	320	465	198
Fri Jan 08 17:07:41 2021	1610122061	142	323	466	173
Fri Jan 08 17:07:42 2021	1610122062	138	327	466	213
Fri Jan 08 17:07:47 2021	1610122067	144	323	467	221
Fri Jan 08 17:07:37 2021	1610122057	131	336	467	198
Fri Jan 08 17:07:43 2021	1610122063	157	310	467	232
Fri Jan 08 17:07:41 2021	1610122061	145	322	467	206
Fri Jan 08 17:07:45 2021	1610122065	141	326	467	228
Fri Jan 08 17:07:40 2021	1610122060	156	312	468	221
Fri Jan 08 17:07:37 2021	1610122057	156	313	468	230
Fri Jan 08 17:07:33 2021	1610122053	144	324	469	249
Fri Jan 08 17:07:46 2021	1610122066	134	336	469	213
Fri Jan 08 17:07:40 2021	1610122060	159	310	469	220
Fri Jan 08 17:07:43 2021	1610122063	135	335	470	222
Fri Jan 08 17:07:46 2021	1610122066	137	333	470	249
Fri Jan 08 17:07:36 2021	1610122056	145	326	471	238
Fri Jan 08 17:07:34 2021	1610122054	136	335	471	165
Fri Jan 08 17:07:47 2021	1610122067	149	322	472	223
Fri Jan 08 17:07:45 2021	1610122065	136	337	473	202
Fri Jan 08 17:07:37 2021	1610122057	136	337	473	198
Fri Jan 08 17:07:42 2021	1610122062	140	333	473	260
Fri Jan 08 17:07:37 2021	1610122057	138	336	474	187
Fri Jan 08 17:07:37 2021	1610122057	137	338	474	176
Fri Jan 08 17:07:43 2021	1610122063	157	318	475	237
Fri Jan 08 17:07:45 2021	1610122065	125	351	476	216
Fri Jan 08 17:07:38 2021	1610122058	143	333	477	251
Fri Jan 08 17:07:45 2021	1610122065	140	337	477	247
Fri Jan 08 17:07:47 2021	1610122067	141	336	477	276
Fri Jan 08 17:07:40 2021	1610122060	150	328	478	203
Fri Jan 08 17:07:43 2021	1610122063	141	338	479	270
Fri Jan 08 17:07:47 2021	1610122067	144	334	479	216
Fri Jan 08 17:07:45 2021	1610122065	127	352	479	212
Fri Jan 08 17:07:41 2021	1610122061	153	326	479	235
Fri Jan 08 17:07:46 2021	1610122066	150	329	479	215
Fri Jan 08 17:07:45 2021	1610122065	136	344	479	196
Fri Jan 08 17:07:39 2021	1610122059	138	341	479	238
Fri Jan 08 17:07:38 2021	1610122058	140	339	479	258
Fri Jan 08 17:07:37 2021	1610122057	151	329	480	199
Fri Jan 08 17:07:37 2021	1610122057	153	327	480	200
Fri Jan 08 17:07:40 2021	1610122060	159	321	480	226
Fri Jan 08 17:07:36 2021	1610122056	148	333	481	240
Fri Jan 08 17:07:37 2021	1610122057	133	349	481	218
Fri Jan 08 17:07:38 2021	1610122058	133	349	482	258
Fri Jan 08 17:07:46 2021	1610122066	149	333	482	232
Fri Jan 08 17:07:33 2021	1610122053	127	355	482	226
Fri Jan 08 17:07:45 2021	1610122065	129	353	482	233
Fri Jan 08 17:07:45 2021	1610122065	136	347	483	192
Fri Jan 08 17:07:46 2021	1610122066	142	341	484	189
Fri Jan 08 17:07:38 2021	1610122058	156	327	484	210
Fri Jan 08 17:07:40 2021	1610122060	148	336	484	219
Fri Jan 08 17:07:39 2021	1610122059	150	334	485	264
Fri Jan 08 17:07:36 2021	1610122056	162	323	485	261
Fri Jan 08 17:07:46 2021	1610122066	143	343	486	219
Fri Jan 08 17:07:42 2021	1610122062	148	338	486	239
Fri Jan 08 17:07:41 2021	1610122061	138	349	486	216
Fri Jan 08 17:07:33 2021	1610122053	146	341	487	198
Fri Jan 08 17:07:41 2021	1610122061	141	346	487	203
Fri Jan 08 17:07:33 2021	1610122053	145	343	487	283
Fri Jan 08 17:07:43 2021	1610122063	125	363	488	222
Fri Jan 08 17:07:43 2021	1610122063	132	356	488	240
Fri Jan 08 17:07:43 2021	1610122063	149	339	488	254
Fri Jan 08 17:07:43 2021	1610122063	146	343	488	226
