starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:26:56 2021	1610209616	127	691	818	185
Sat Jan 09 17:26:43 2021	1610209603	132	706	838	180
Sat Jan 09 17:27:12 2021	1610209632	140	711	851	186
Sat Jan 09 17:26:57 2021	1610209617	131	746	877	183
Sat Jan 09 17:27:09 2021	1610209629	128	752	880	202
Sat Jan 09 17:27:08 2021	1610209628	141	744	886	193
Sat Jan 09 17:26:46 2021	1610209606	134	755	889	224
Sat Jan 09 17:27:01 2021	1610209621	137	753	890	196
Sat Jan 09 17:26:38 2021	1610209598	136	757	892	204
Sat Jan 09 17:27:13 2021	1610209633	131	761	892	201
Sat Jan 09 17:26:46 2021	1610209606	145	749	894	203
Sat Jan 09 17:26:46 2021	1610209606	144	755	898	217
Sat Jan 09 17:27:20 2021	1610209640	133	765	898	203
Sat Jan 09 17:27:12 2021	1610209632	137	762	899	192
Sat Jan 09 17:27:09 2021	1610209629	139	763	901	236
Sat Jan 09 17:26:52 2021	1610209612	124	785	909	150
Sat Jan 09 17:26:35 2021	1610209595	135	775	909	216
Sat Jan 09 17:27:17 2021	1610209637	125	785	911	400
Sat Jan 09 17:26:59 2021	1610209619	136	775	911	247
Sat Jan 09 17:27:16 2021	1610209636	138	773	912	219
Sat Jan 09 17:26:35 2021	1610209595	137	778	915	217
Sat Jan 09 17:27:05 2021	1610209625	137	782	919	231
Sat Jan 09 17:26:34 2021	1610209594	125	794	919	187
Sat Jan 09 17:27:08 2021	1610209628	156	768	923	220
Sat Jan 09 17:26:52 2021	1610209612	132	792	924	218
Sat Jan 09 17:26:45 2021	1610209605	125	805	929	168
Sat Jan 09 17:27:17 2021	1610209637	133	797	930	235
Sat Jan 09 17:27:13 2021	1610209633	156	775	931	244
Sat Jan 09 17:26:38 2021	1610209598	132	800	932	234
Sat Jan 09 17:27:03 2021	1610209623	138	795	933	241
Sat Jan 09 17:26:38 2021	1610209598	146	787	933	254
Sat Jan 09 17:27:05 2021	1610209625	136	798	934	197
Sat Jan 09 17:27:09 2021	1610209629	139	796	935	230
Sat Jan 09 17:27:09 2021	1610209629	131	807	938	217
Sat Jan 09 17:26:59 2021	1610209619	137	802	939	214
Sat Jan 09 17:26:34 2021	1610209594	134	815	949	281
Sat Jan 09 17:26:56 2021	1610209616	132	818	949	286
Sat Jan 09 17:27:05 2021	1610209625	144	807	951	178
Sat Jan 09 17:27:13 2021	1610209633	140	811	951	221
Sat Jan 09 17:26:42 2021	1610209602	127	825	951	282
Sat Jan 09 17:27:05 2021	1610209625	133	819	952	273
Sat Jan 09 17:27:00 2021	1610209620	135	819	953	272
Sat Jan 09 17:27:17 2021	1610209637	142	812	954	273
Sat Jan 09 17:27:20 2021	1610209640	133	822	955	319
Sat Jan 09 17:26:52 2021	1610209612	135	821	956	223
Sat Jan 09 17:26:56 2021	1610209616	151	809	960	262
Sat Jan 09 17:27:20 2021	1610209640	140	820	960	294
Sat Jan 09 17:26:46 2021	1610209606	144	817	961	240
Sat Jan 09 17:26:42 2021	1610209602	133	828	962	232
Sat Jan 09 17:26:34 2021	1610209594	142	821	963	243
Sat Jan 09 17:27:17 2021	1610209637	139	825	964	697
Sat Jan 09 17:27:05 2021	1610209625	140	825	965	304
Sat Jan 09 17:26:34 2021	1610209594	132	833	965	270
Sat Jan 09 17:26:59 2021	1610209619	146	819	965	216
Sat Jan 09 17:26:56 2021	1610209616	141	826	967	283
Sat Jan 09 17:26:56 2021	1610209616	132	838	970	274
Sat Jan 09 17:27:05 2021	1610209625	145	825	970	263
Sat Jan 09 17:27:17 2021	1610209637	144	827	971	206
Sat Jan 09 17:27:12 2021	1610209632	146	828	973	236
Sat Jan 09 17:27:00 2021	1610209620	130	845	975	220
Sat Jan 09 17:27:11 2021	1610209631	143	833	976	239
Sat Jan 09 17:27:09 2021	1610209629	152	826	977	227
Sat Jan 09 17:26:44 2021	1610209604	152	826	978	328
Sat Jan 09 17:26:35 2021	1610209595	128	850	978	263
Sat Jan 09 17:26:52 2021	1610209612	146	834	979	289
Sat Jan 09 17:26:33 2021	1610209593	154	827	981	328
Sat Jan 09 17:27:00 2021	1610209620	132	854	986	270
Sat Jan 09 17:27:20 2021	1610209640	141	846	987	286
Sat Jan 09 17:26:37 2021	1610209597	125	862	987	175
Sat Jan 09 17:26:56 2021	1610209616	131	860	991	249
Sat Jan 09 17:26:34 2021	1610209594	144	849	993	288
Sat Jan 09 17:27:13 2021	1610209633	154	840	994	293
Sat Jan 09 17:27:00 2021	1610209620	140	854	994	288
Sat Jan 09 17:26:37 2021	1610209597	143	851	994	253
Sat Jan 09 17:26:38 2021	1610209598	143	852	995	241
Sat Jan 09 17:26:42 2021	1610209602	143	853	996	268
Sat Jan 09 17:26:48 2021	1610209608	152	845	997	268
Sat Jan 09 17:26:52 2021	1610209612	131	866	997	210
Sat Jan 09 17:27:05 2021	1610209625	144	857	1001	277
Sat Jan 09 17:26:37 2021	1610209597	131	871	1002	207
Sat Jan 09 17:26:48 2021	1610209608	145	860	1005	265
Sat Jan 09 17:26:56 2021	1610209616	132	876	1008	239
Sat Jan 09 17:27:00 2021	1610209620	132	877	1009	313
Sat Jan 09 17:26:48 2021	1610209608	140	870	1010	320
Sat Jan 09 17:27:09 2021	1610209629	127	884	1012	286
Sat Jan 09 17:26:44 2021	1610209604	144	869	1013	306
Sat Jan 09 17:27:20 2021	1610209640	132	881	1013	367
Sat Jan 09 17:26:46 2021	1610209606	133	881	1015	308
Sat Jan 09 17:26:35 2021	1610209595	127	889	1016	269
Sat Jan 09 17:26:34 2021	1610209594	165	853	1018	306
Sat Jan 09 17:26:42 2021	1610209602	144	874	1018	202
Sat Jan 09 17:26:48 2021	1610209608	139	882	1021	280
Sat Jan 09 17:26:43 2021	1610209603	141	882	1023	245
Sat Jan 09 17:26:43 2021	1610209603	156	868	1024	230
Sat Jan 09 17:26:33 2021	1610209593	135	892	1027	337
Sat Jan 09 17:26:48 2021	1610209608	138	891	1029	307
Sat Jan 09 17:26:39 2021	1610209599	125	908	1033	394
