starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:36:52 2021	1610210212	127	682	810	174
Sat Jan 09 17:36:48 2021	1610210208	135	733	869	169
Sat Jan 09 17:36:40 2021	1610210200	138	732	869	222
Sat Jan 09 17:36:51 2021	1610210211	133	742	875	222
Sat Jan 09 17:36:50 2021	1610210210	156	720	876	235
Sat Jan 09 17:36:52 2021	1610210212	125	754	879	193
Sat Jan 09 17:36:32 2021	1610210192	130	749	879	231
Sat Jan 09 17:36:40 2021	1610210200	132	750	883	232
Sat Jan 09 17:36:51 2021	1610210211	139	745	884	196
Sat Jan 09 17:36:43 2021	1610210203	133	751	885	229
Sat Jan 09 17:36:39 2021	1610210199	128	760	888	245
Sat Jan 09 17:36:41 2021	1610210201	131	758	888	237
Sat Jan 09 17:36:50 2021	1610210210	146	745	892	202
Sat Jan 09 17:36:40 2021	1610210200	138	757	894	228
Sat Jan 09 17:36:48 2021	1610210208	154	741	895	230
Sat Jan 09 17:36:38 2021	1610210198	140	760	900	229
Sat Jan 09 17:36:50 2021	1610210210	135	765	900	257
Sat Jan 09 17:36:41 2021	1610210201	134	767	900	252
Sat Jan 09 17:36:50 2021	1610210210	124	778	901	229
Sat Jan 09 17:36:39 2021	1610210199	132	771	903	235
Sat Jan 09 17:36:27 2021	1610210187	135	769	904	209
Sat Jan 09 17:36:41 2021	1610210201	133	773	906	191
Sat Jan 09 17:36:32 2021	1610210192	146	761	907	222
Sat Jan 09 17:36:50 2021	1610210210	143	764	907	188
Sat Jan 09 17:36:51 2021	1610210211	140	771	911	214
Sat Jan 09 17:36:33 2021	1610210193	125	787	911	270
Sat Jan 09 17:36:40 2021	1610210200	131	785	915	236
Sat Jan 09 17:36:32 2021	1610210192	131	785	916	292
Sat Jan 09 17:36:50 2021	1610210210	125	793	918	187
Sat Jan 09 17:36:43 2021	1610210203	125	793	918	180
Sat Jan 09 17:36:52 2021	1610210212	127	791	918	209
Sat Jan 09 17:36:40 2021	1610210200	130	791	920	231
Sat Jan 09 17:36:47 2021	1610210207	131	791	921	246
Sat Jan 09 17:36:40 2021	1610210200	153	768	921	271
Sat Jan 09 17:36:41 2021	1610210201	133	790	923	230
Sat Jan 09 17:36:35 2021	1610210195	132	794	927	233
Sat Jan 09 17:36:50 2021	1610210210	146	782	928	236
Sat Jan 09 17:36:40 2021	1610210200	137	795	932	235
Sat Jan 09 17:36:41 2021	1610210201	134	800	934	192
Sat Jan 09 17:36:43 2021	1610210203	132	802	934	242
Sat Jan 09 17:36:33 2021	1610210193	132	806	938	280
Sat Jan 09 17:36:52 2021	1610210212	131	809	940	272
Sat Jan 09 17:36:40 2021	1610210200	132	810	942	280
Sat Jan 09 17:36:52 2021	1610210212	133	811	944	260
Sat Jan 09 17:36:27 2021	1610210187	134	811	946	251
Sat Jan 09 17:36:41 2021	1610210201	136	810	946	240
Sat Jan 09 17:36:40 2021	1610210200	132	814	946	278
Sat Jan 09 17:36:51 2021	1610210211	134	813	947	281
Sat Jan 09 17:36:40 2021	1610210200	153	794	947	220
Sat Jan 09 17:36:51 2021	1610210211	144	803	947	258
Sat Jan 09 17:36:28 2021	1610210188	148	801	949	259
Sat Jan 09 17:36:32 2021	1610210192	142	807	949	291
Sat Jan 09 17:36:28 2021	1610210188	132	818	951	322
