starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:32:29 2021	1610209949	622	4830	5452	4383
Sat Jan 09 17:32:42 2021	1610209962	126	5326	5453	4824
Sat Jan 09 17:32:54 2021	1610209974	135	5319	5454	4808
Sat Jan 09 17:33:03 2021	1610209983	127	5328	5456	4855
Sat Jan 09 17:32:37 2021	1610209957	136	5320	5457	4809
Sat Jan 09 17:33:15 2021	1610209995	158	5302	5460	4803
Sat Jan 09 17:33:07 2021	1610209987	139	5327	5466	4820
Sat Jan 09 17:33:02 2021	1610209982	125	5345	5470	4623
Sat Jan 09 17:33:09 2021	1610209989	135	5337	5472	4685
Sat Jan 09 17:32:29 2021	1610209949	619	4854	5472	4388
Sat Jan 09 17:32:57 2021	1610209977	126	5348	5474	4844
Sat Jan 09 17:33:10 2021	1610209990	140	5335	5475	4900
Sat Jan 09 17:33:18 2021	1610209998	160	5318	5478	4835
Sat Jan 09 17:32:47 2021	1610209967	136	5348	5484	4863
Sat Jan 09 17:32:32 2021	1610209952	137	5347	5484	4858
Sat Jan 09 17:32:48 2021	1610209968	131	5354	5485	4842
Sat Jan 09 17:32:57 2021	1610209977	146	5343	5489	4838
Sat Jan 09 17:32:43 2021	1610209963	123	5367	5489	4847
Sat Jan 09 17:32:29 2021	1610209949	620	4869	5490	4389
Sat Jan 09 17:32:59 2021	1610209979	141	5352	5493	4840
Sat Jan 09 17:33:15 2021	1610209995	145	5351	5497	4843
Sat Jan 09 17:32:42 2021	1610209962	143	5356	5500	4869
Sat Jan 09 17:32:43 2021	1610209963	156	5344	5500	4849
Sat Jan 09 17:32:49 2021	1610209969	148	5353	5501	4839
Sat Jan 09 17:32:59 2021	1610209979	144	5358	5501	4854
Sat Jan 09 17:33:20 2021	1610210000	151	5352	5503	4848
Sat Jan 09 17:32:30 2021	1610209950	152	5351	5503	4853
Sat Jan 09 17:32:44 2021	1610209964	145	5358	5504	4841
Sat Jan 09 17:33:11 2021	1610209991	138	5365	5504	4874
Sat Jan 09 17:32:48 2021	1610209968	125	5387	5512	4477
Sat Jan 09 17:32:48 2021	1610209968	134	5379	5512	5088
Sat Jan 09 17:33:05 2021	1610209985	133	5380	5513	4876
Sat Jan 09 17:33:18 2021	1610209998	145	5368	5513	4854
Sat Jan 09 17:33:04 2021	1610209984	139	5378	5517	4868
Sat Jan 09 17:33:21 2021	1610210001	138	5380	5518	4873
Sat Jan 09 17:33:21 2021	1610210001	138	5381	5519	4878
Sat Jan 09 17:33:08 2021	1610209988	158	5362	5520	4854
Sat Jan 09 17:33:03 2021	1610209983	152	5368	5520	4869
Sat Jan 09 17:33:03 2021	1610209983	143	5376	5520	4885
Sat Jan 09 17:33:13 2021	1610209993	149	5374	5523	4872
Sat Jan 09 17:32:59 2021	1610209979	149	5384	5533	4870
Sat Jan 09 17:32:56 2021	1610209976	133	5402	5535	4532
