starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:34:35 2021	1610210075	149	701	850	206
Sat Jan 09 17:34:34 2021	1610210074	141	723	865	227
Sat Jan 09 17:34:35 2021	1610210075	162	798	960	309
Sat Jan 09 17:34:34 2021	1610210074	186	903	1089	398
Sat Jan 09 17:34:21 2021	1610210061	150	995	1146	447
Sat Jan 09 17:34:21 2021	1610210061	150	995	1146	447
Sat Jan 09 17:34:34 2021	1610210074	193	967	1159	472
Sat Jan 09 17:34:34 2021	1610210074	192	997	1189	500
Sat Jan 09 17:34:34 2021	1610210074	186	1014	1200	507
Sat Jan 09 17:34:34 2021	1610210074	186	1014	1200	507
Sat Jan 09 17:34:34 2021	1610210074	192	1029	1222	523
Sat Jan 09 17:34:34 2021	1610210074	185	1041	1226	541
Sat Jan 09 17:34:21 2021	1610210061	150	1311	1461	994
Sat Jan 09 17:34:21 2021	1610210061	150	1414	1564	995
Sat Jan 09 17:34:35 2021	1610210075	135	1454	1589	967
Sat Jan 09 17:34:35 2021	1610210075	137	1459	1595	831
Sat Jan 09 17:34:35 2021	1610210075	148	1487	1636	902
Sat Jan 09 17:34:35 2021	1610210075	133	1505	1638	878
Sat Jan 09 17:34:35 2021	1610210075	153	1519	1672	1031
Sat Jan 09 17:34:35 2021	1610210075	153	1583	1736	1084
Sat Jan 09 17:34:35 2021	1610210075	135	1607	1742	1106
Sat Jan 09 17:34:35 2021	1610210075	153	1600	1753	1114
Sat Jan 09 17:34:35 2021	1610210075	146	1630	1776	1126
Sat Jan 09 17:34:21 2021	1610210061	150	1657	1807	1147
Sat Jan 09 17:34:21 2021	1610210061	151	1667	1818	1173
Sat Jan 09 17:34:21 2021	1610210061	151	1844	1994	1343
Sat Jan 09 17:34:35 2021	1610210075	150	1864	2014	1397
Sat Jan 09 17:34:21 2021	1610210061	160	1931	2091	1413
Sat Jan 09 17:34:21 2021	1610210061	151	1941	2092	1452
Sat Jan 09 17:34:21 2021	1610210061	163	1932	2094	1441
Sat Jan 09 17:34:21 2021	1610210061	161	1944	2105	1444
Sat Jan 09 17:34:21 2021	1610210061	162	1959	2122	1447
Sat Jan 09 17:34:35 2021	1610210075	149	2006	2154	1499
Sat Jan 09 17:34:25 2021	1610210065	149	2024	2173	1522
Sat Jan 09 17:34:35 2021	1610210075	152	2046	2199	1499
Sat Jan 09 17:34:21 2021	1610210061	162	2043	2205	1531
Sat Jan 09 17:34:25 2021	1610210065	146	2059	2205	1560
Sat Jan 09 17:34:21 2021	1610210061	152	2053	2205	1543
Sat Jan 09 17:34:21 2021	1610210061	160	2068	2229	1557
Sat Jan 09 17:34:25 2021	1610210065	140	2091	2231	1599
Sat Jan 09 17:34:25 2021	1610210065	141	2104	2245	1600
Sat Jan 09 17:34:24 2021	1610210064	132	2151	2283	1653
Sat Jan 09 17:34:35 2021	1610210075	149	2141	2290	1638
Sat Jan 09 17:34:35 2021	1610210075	152	2151	2302	1633
Sat Jan 09 17:34:25 2021	1610210065	160	2156	2316	1669
Sat Jan 09 17:34:25 2021	1610210065	138	2185	2323	1684
Sat Jan 09 17:34:25 2021	1610210065	144	2209	2353	1712
Sat Jan 09 17:34:25 2021	1610210065	137	2236	2373	1751
Sat Jan 09 17:34:21 2021	1610210061	162	2229	2391	1723
Sat Jan 09 17:34:35 2021	1610210075	129	2262	2391	1753
Sat Jan 09 17:34:25 2021	1610210065	126	2296	2422	1802
Sat Jan 09 17:34:24 2021	1610210064	130	2297	2426	1805
Sat Jan 09 17:34:25 2021	1610210065	145	2302	2446	1817
Sat Jan 09 17:35:30 2021	1610210130	152	2328	2480	1830
Sat Jan 09 17:34:25 2021	1610210065	134	2356	2490	1840
Sat Jan 09 17:34:25 2021	1610210065	138	2362	2500	1837
Sat Jan 09 17:35:30 2021	1610210130	160	2341	2501	1841
Sat Jan 09 17:34:24 2021	1610210064	142	2409	2551	1915
Sat Jan 09 17:34:24 2021	1610210064	137	2414	2551	1916
Sat Jan 09 17:34:35 2021	1610210075	125	2428	2552	1924
Sat Jan 09 17:34:35 2021	1610210075	141	2420	2562	1931
Sat Jan 09 17:34:35 2021	1610210075	135	2440	2574	1918
Sat Jan 09 17:34:24 2021	1610210064	132	2453	2585	1953
Sat Jan 09 17:35:00 2021	1610210100	144	2449	2593	1964
Sat Jan 09 17:34:24 2021	1610210064	126	2509	2635	2002
Sat Jan 09 17:34:35 2021	1610210075	141	2508	2648	2003
Sat Jan 09 17:35:03 2021	1610210103	125	2527	2651	2038
Sat Jan 09 17:34:35 2021	1610210075	145	2510	2655	1994
Sat Jan 09 17:34:24 2021	1610210064	132	2523	2656	1995
Sat Jan 09 17:35:30 2021	1610210130	126	2538	2663	2035
Sat Jan 09 17:35:03 2021	1610210103	165	2519	2683	2015
Sat Jan 09 17:35:00 2021	1610210100	140	2545	2685	2057
Sat Jan 09 17:34:55 2021	1610210095	146	2547	2693	2038
Sat Jan 09 17:35:30 2021	1610210130	141	2552	2693	2063
Sat Jan 09 17:34:24 2021	1610210064	132	2568	2700	2058
Sat Jan 09 17:34:51 2021	1610210091	131	2570	2701	2063
Sat Jan 09 17:34:35 2021	1610210075	132	2577	2709	2088
Sat Jan 09 17:34:51 2021	1610210091	134	2589	2723	2095
Sat Jan 09 17:34:35 2021	1610210075	154	2575	2729	2048
Sat Jan 09 17:34:55 2021	1610210095	134	2600	2734	2096
Sat Jan 09 17:35:04 2021	1610210104	160	2610	2770	2120
Sat Jan 09 17:34:21 2021	1610210061	152	2620	2772	2131
Sat Jan 09 17:34:35 2021	1610210075	154	2633	2787	2134
Sat Jan 09 17:34:35 2021	1610210075	146	2657	2803	2161
Sat Jan 09 17:35:03 2021	1610210103	169	2652	2822	2149
Sat Jan 09 17:34:25 2021	1610210065	138	2685	2822	2193
Sat Jan 09 17:34:35 2021	1610210075	148	2679	2827	2174
Sat Jan 09 17:34:25 2021	1610210065	139	2691	2830	2194
Sat Jan 09 17:34:25 2021	1610210065	137	2694	2831	2182
Sat Jan 09 17:34:25 2021	1610210065	134	2703	2837	2213
Sat Jan 09 17:34:59 2021	1610210099	139	2711	2850	2205
Sat Jan 09 17:34:55 2021	1610210095	144	2713	2858	2208
Sat Jan 09 17:34:59 2021	1610210099	141	2718	2859	2211
Sat Jan 09 17:34:50 2021	1610210090	141	2725	2866	2220
Sat Jan 09 17:34:35 2021	1610210075	141	2725	2866	2223
Sat Jan 09 17:34:47 2021	1610210087	132	2739	2872	2248
Sat Jan 09 17:34:36 2021	1610210076	149	2729	2877	2227
Sat Jan 09 17:34:25 2021	1610210065	135	2743	2878	2238
Sat Jan 09 17:35:30 2021	1610210130	135	2743	2878	2238
Sat Jan 09 17:35:04 2021	1610210104	155	2723	2879	2215
Sat Jan 09 17:34:35 2021	1610210075	147	2734	2881	2244
Sat Jan 09 17:34:35 2021	1610210075	141	2741	2883	2222
Sat Jan 09 17:34:36 2021	1610210076	151	2733	2884	2234
Sat Jan 09 17:34:59 2021	1610210099	131	2759	2890	2228
Sat Jan 09 17:34:38 2021	1610210078	140	2755	2896	2247
Sat Jan 09 17:35:22 2021	1610210122	140	2758	2898	2260
Sat Jan 09 17:35:03 2021	1610210103	158	2744	2902	2255
Sat Jan 09 17:34:48 2021	1610210088	147	2762	2909	2268
Sat Jan 09 17:34:25 2021	1610210065	126	2791	2917	2282
Sat Jan 09 17:35:04 2021	1610210104	142	2777	2918	2273
Sat Jan 09 17:34:44 2021	1610210084	145	2776	2920	2272
Sat Jan 09 17:34:26 2021	1610210066	152	2780	2932	2278
Sat Jan 09 17:35:30 2021	1610210130	135	2802	2937	2314
Sat Jan 09 17:34:54 2021	1610210094	142	2800	2942	2305
Sat Jan 09 17:34:35 2021	1610210075	125	2817	2942	2288
Sat Jan 09 17:34:59 2021	1610210099	129	2818	2947	2334
Sat Jan 09 17:34:43 2021	1610210083	132	2819	2951	2303
Sat Jan 09 17:34:24 2021	1610210064	134	2822	2956	2322
Sat Jan 09 17:35:07 2021	1610210107	124	2841	2966	2310
Sat Jan 09 17:35:29 2021	1610210129	127	2839	2966	2358
